cve_mun,grado_entrante,grado_saliente,fuerza_entrante,fuerza_saliente
7,163,159,48389,48770
6,190,192,49858,49898
12,149,156,28319,28533
3,182,186,33580,33453
15,168,170,38239,36506
16,148,148,33877,32475
120,134,143,15164,15645
39,221,210,60743,59088
10,181,174,39580,39628
14,175,171,40767,40007
17,158,160,33295,33402
104,127,127,25351,24857
5,173,182,49232,49584
98,131,131,15300,15510
11,154,156,23933,24393
57,140,139,17145,17240
46,149,148,16543,16220
26,148,144,15652,16048
19,164,176,13889,13513
8,162,162,17954,17832
35,163,161,13995,14062
28,177,181,18230,18465
2,163,157,29323,29336
119,129,130,6497,6600
114,219,219,17882,17944
13,161,165,28463,29414
101,153,145,13916,13995
50,147,146,14445,14273
4,177,168,26075,26327
106,144,145,14531,14664
54,133,136,8303,8463
58,144,149,21571,21972
51,155,168,11467,11777
48,153,160,16048,15979
33,163,155,29173,29271
109,130,134,11502,11760
121,126,128,12110,12048
81,130,126,8229,8485
105,126,128,4046,4180
21,150,139,12501,12754
97,149,140,10509,10571
9,153,153,11394,11458
38,169,173,7982,8019
193,146,145,5714,5616
31,158,162,18976,18880
20,160,154,17538,17863
37,142,137,12770,13148
18,149,145,16798,16537
41,167,173,15160,15063
70,138,141,9812,9807
25,160,144,10757,10750
122,93,100,5699,5896
1,190,190,14962,14938
27,136,136,6368,6269
30,143,145,12131,12020
76,132,136,6966,6790
24,137,131,7722,7824
83,149,139,4528,4568
118,149,149,4955,4911
29,155,149,9229,9332
32,135,137,8585,8369
56,118,118,3505,3641
140,112,114,3393,3462
60,122,115,3452,3594
34,152,154,3829,3878
66,134,136,2782,2872
63,125,131,3502,3508
189,118,123,2169,2255
102,133,141,3912,3925
44,162,166,6693,6806
68,146,149,3154,3131
62,113,106,2896,2717
95,97,95,2349,2298
65,127,130,2846,2818
87,170,166,5293,5234
108,157,159,5942,6143
88,112,115,1788,1890
53,156,152,6615,6310
42,143,142,4751,4827
22,122,133,4816,4815
390,63,68,1296,1310
67,214,210,7078,6928
43,162,161,3718,3643
385,109,108,1262,1250
156,144,143,1843,1834
77,126,129,3079,3098
99,121,123,4047,4160
85,139,142,2317,2334
36,116,121,2698,2704
49,138,135,2685,2624
124,130,125,3159,3155
157,54,57,759,757
55,121,122,3488,3420
40,130,135,3507,3686
75,121,123,2611,2753
100,114,111,1993,1983
45,146,142,4307,4389
59,150,158,4013,4064
61,122,124,2095,2139
91,119,123,2076,2153
103,94,88,1350,1270
79,130,132,1878,1856
52,139,134,2612,2566
47,109,118,2259,2309
92,107,103,1707,1774
174,121,118,1393,1468
181,33,34,710,618
23,166,158,5127,5071
175,71,66,748,734
131,95,99,965,937
69,140,136,2866,2822
115,126,127,2295,2343
74,122,124,2696,2668
132,136,125,1905,1831
107,102,98,1131,1134
138,69,61,725,729
136,49,49,585,595
71,140,139,1916,1844
73,115,114,1514,1529
350,31,31,437,447
82,112,115,1628,1677
149,31,40,340,357
559,12,14,229,265
184,114,111,1009,1026
133,44,50,568,598
93,124,126,2365,2346
143,60,62,570,565
89,120,114,1881,1859
110,96,100,1306,1313
293,36,36,437,459
515,44,43,356,379
123,82,92,1044,1197
161,35,35,273,309
86,88,92,1324,1242
126,67,69,557,569
183,44,55,541,545
399,70,60,456,441
172,27,30,307,235
437,25,26,211,314
135,54,44,513,373
134,56,44,658,668
164,70,73,821,735
90,106,107,1388,1433
125,82,81,1005,998
72,105,100,1098,1073
117,66,59,696,564
94,102,98,978,959
188,30,35,289,325
427,11,13,145,153
227,34,41,327,322
84,93,92,1080,1112
111,76,77,1046,1019
360,15,14,209,220
78,129,126,1251,1401
401,17,19,155,171
318,57,55,266,272
154,53,53,607,574
128,86,83,778,732
254,14,11,111,127
279,6,4,118,100
210,42,38,208,197
180,62,68,613,570
96,99,95,913,849
160,56,64,440,483
170,30,38,204,213
403,13,17,189,186
148,28,35,281,280
386,27,25,222,244
211,55,54,419,403
113,80,98,741,801
206,30,32,220,237
142,47,46,486,478
182,29,29,315,316
192,33,30,234,232
197,66,61,451,475
112,103,100,744,759
177,55,57,358,431
80,75,75,576,593
116,48,62,485,513
553,43,45,342,368
168,28,27,153,163
186,44,45,479,478
196,25,27,235,234
