cve_mun,grado_entrante,grado_saliente,fuerza_entrante,fuerza_saliente
120,126,122,6568,6598
39,174,171,20715,19604
105,90,92,3636,3668
28,143,151,9015,8989
98,105,98,6269,6311
7,141,143,16422,16513
6,155,146,16686,16626
5,145,143,17592,17453
104,109,108,7387,7314
12,127,129,8478,8566
3,168,159,12805,12176
11,135,128,8447,8564
35,131,133,5662,5708
17,135,140,11127,11072
15,164,166,13156,12144
14,148,154,12029,11497
13,140,136,9889,10225
50,132,132,4535,4650
101,129,131,5355,5561
16,138,131,9598,9183
10,149,148,11905,11823
8,117,122,5441,5736
57,121,109,5505,5447
46,113,113,4708,4595
2,150,150,10198,10094
26,108,110,5251,5263
4,144,152,8730,8874
114,189,178,5973,5831
119,92,85,1886,1821
58,124,120,7495,7758
97,112,118,4309,4483
106,126,128,5431,5478
54,110,107,2675,2625
33,141,140,9952,10027
81,100,108,2627,2816
31,131,124,6217,6682
9,123,125,3948,4109
38,114,124,2994,3090
19,141,136,4045,4053
193,127,127,2346,2241
51,120,122,3680,3666
48,134,127,5226,5222
25,121,114,4084,4266
21,119,110,4602,4652
109,100,97,3586,3693
121,98,101,3926,3896
1,159,162,5396,5480
41,130,131,5099,5116
20,129,129,5974,6047
30,129,126,4402,4555
122,69,69,1893,1968
24,114,115,3019,2937
70,108,110,3650,3645
18,123,124,4798,4966
56,90,96,1579,1518
118,115,118,1841,1845
37,112,110,3971,4039
83,121,118,1779,1755
29,119,129,2861,2985
88,90,93,758,767
53,127,129,2769,2754
60,105,105,1451,1550
27,105,107,2178,2192
390,43,43,600,594
67,164,172,2762,2712
32,106,108,2706,2713
66,100,97,1185,1127
76,103,102,1938,1875
108,126,118,2276,2348
43,123,126,1442,1568
87,139,154,1958,2009
65,97,102,1021,1116
95,73,67,967,937
140,70,64,1126,1113
68,109,107,1060,1032
44,138,148,2571,2650
34,111,120,1251,1253
385,65,68,502,515
77,109,106,1167,1186
62,91,88,852,883
156,97,103,749,749
22,92,101,1604,1647
157,40,37,309,298
23,138,136,1764,1825
85,113,116,1228,1189
36,88,93,1166,1211
55,95,94,1147,1190
52,101,98,845,875
82,81,74,626,669
63,100,97,925,974
91,81,83,718,747
517,10,11,172,165
75,111,118,849,954
69,102,106,1297,1413
99,102,93,1622,1616
45,124,120,1581,1522
