cve_mun,grado_entrante,grado_saliente,fuerza_entrante,fuerza_saliente
120,152,146,14627,14689
39,215,221,44339,44747
98,131,132,13334,13337
105,128,124,6200,6142
28,182,176,16767,16834
6,186,193,34167,34396
7,172,171,36609,36552
5,174,180,37767,37841
104,141,143,14981,15005
11,152,154,18574,18568
35,153,154,12236,12226
14,171,175,25842,25885
101,148,146,12508,12399
15,177,182,24866,25006
17,149,161,23848,23791
16,157,153,19240,19462
10,175,175,24667,24823
12,144,154,19357,18982
3,172,178,22458,22306
50,150,146,11005,11185
13,161,160,21607,21170
2,168,164,22538,22475
97,143,151,9935,10084
46,131,134,9893,9979
58,158,157,17731,17541
26,145,145,11537,11552
33,173,175,24694,24606
57,144,139,10212,10355
81,135,127,7260,7529
8,161,153,12224,12192
106,139,140,11371,11390
54,135,137,5692,5643
31,160,156,15444,15445
18,152,145,12206,11905
30,152,153,11519,11704
27,138,133,5596,5523
114,217,226,14970,14976
119,128,121,3500,3426
51,149,141,7858,7781
48,159,157,12698,12465
4,180,181,18790,18699
122,104,102,4544,4559
193,161,147,4981,4891
9,144,152,9326,9381
38,154,155,6203,6206
25,149,150,9843,9885
20,153,148,18213,17901
109,134,126,9202,8984
19,175,175,8924,9010
121,128,117,8981,9046
21,136,131,9879,9818
41,163,161,11424,11152
1,197,204,13722,13802
37,137,131,9766,9759
70,135,137,7805,7750
56,131,132,3401,3485
53,153,146,7051,7145
88,106,116,1866,1866
83,138,139,3840,3940
24,131,127,6413,6247
32,125,117,7572,7451
29,152,156,7107,7312
118,155,154,3735,3737
60,117,110,3190,3211
156,125,123,1821,1837
22,123,125,3805,3910
65,118,127,2502,2530
87,179,161,3944,3976
108,155,167,5568,5421
68,134,142,2046,2120
44,172,190,6025,5880
140,94,100,1989,1942
76,136,127,3823,3747
390,65,56,994,995
67,220,211,5359,5436
95,96,100,1802,1804
66,123,118,2007,2018
63,130,129,2378,2350
34,146,153,3244,3308
42,138,136,4093,4040
385,114,117,1321,1327
43,161,167,3620,3653
77,126,122,2849,2643
61,121,124,1916,1861
86,90,84,1093,1278
132,120,107,1535,1483
99,116,128,3077,3059
91,109,116,2033,1994
115,139,141,2040,1978
100,102,104,1581,1557
23,165,160,4545,4399
181,37,38,581,579
36,118,116,2603,2683
45,150,140,3731,3721
55,117,116,2733,2730
62,105,108,1562,1613
103,119,119,1210,1193
143,53,66,590,558
189,110,114,1164,1114
124,132,131,2363,2350
85,137,149,2151,2348
59,155,158,2825,2978
92,101,95,1718,1793
75,111,119,1665,1689
110,100,100,1426,1466
74,137,131,2448,2564
40,142,134,2820,2817
90,106,102,1305,1390
131,117,122,934,952
175,74,72,640,618
89,124,124,2029,1948
102,147,136,2558,2606
149,42,36,366,361
157,57,54,490,490
138,52,47,580,589
71,130,139,1910,1924
82,115,116,1593,1541
78,112,107,1232,1288
133,47,56,471,522
47,112,116,2112,2075
123,88,94,1050,1053
206,48,53,437,429
52,130,126,1855,1826
93,109,108,1862,1792
69,126,128,1921,1990
126,63,66,725,704
125,88,91,808,800
350,29,27,350,354
113,86,74,825,773
49,117,124,1829,1926
79,129,132,1444,1473
161,43,38,341,348
515,35,38,332,344
399,75,72,531,530
318,71,75,330,333
401,26,24,174,161
197,87,94,647,664
162,23,25,213,275
188,31,32,316,314
107,105,109,992,988
80,75,81,613,656
64,95,98,967,959
142,53,57,465,508
73,120,123,1354,1312
94,101,101,862,886
164,71,67,565,571
134,69,68,597,545
174,116,107,1113,1165
293,32,29,252,254
183,64,55,464,406
144,51,61,509,564
360,21,21,187,187
72,96,96,730,742
117,67,66,439,466
116,54,50,497,491
154,62,55,521,523
96,96,101,882,863
150,35,34,301,280
294,20,19,109,107
565,49,44,293,287
227,34,29,241,231
136,44,40,370,376
178,38,39,248,245
375,23,19,143,143
146,10,11,156,156
172,44,37,217,223
151,32,37,222,206
111,75,80,669,709
180,75,88,446,572
130,28,31,295,286
112,98,96,726,701
191,76,69,324,362
208,78,69,387,355
84,94,102,694,694
386,25,24,139,192
475,26,28,218,191
160,66,57,331,291
209,17,23,128,139
459,9,10,76,74
141,86,67,331,293
145,51,41,269,275
182,32,31,169,199
201,20,28,118,130
184,120,110,689,668
207,61,67,370,389
324,51,39,149,167
439,18,19,127,134
176,24,30,118,143
244,3,6,54,63
