cve_mun,grado_entrante,grado_saliente,fuerza_entrante,fuerza_saliente
12,150,148,43776,43868
3,166,168,49277,49445
15,173,165,59041,58842
16,150,148,55648,55628
14,168,164,63858,63730
10,182,169,61833,62022
7,168,165,67070,66560
6,188,188,69381,68651
17,159,160,46813,47336
39,212,197,70583,71177
120,132,141,21390,21422
5,173,177,69254,68904
104,137,134,36234,35696
57,144,144,27689,27451
98,134,127,20555,20347
119,125,121,12219,12167
114,222,218,23799,23768
19,164,169,18879,18900
11,157,167,31826,31749
8,166,159,24256,24260
46,139,134,22830,22765
13,160,158,39629,39806
35,160,147,17457,17396
28,178,184,22732,22274
4,174,170,34379,34660
26,145,147,20453,20499
106,139,138,18701,18716
54,129,127,12672,12605
2,164,156,38709,38753
109,131,130,15592,15589
121,123,116,18218,18264
58,148,147,27579,27784
48,160,149,22161,22136
51,154,156,17053,17106
50,145,152,16447,16277
21,132,135,16355,16437
101,155,147,15667,15478
193,151,153,7467,7392
81,124,124,9817,9799
33,161,166,36182,36165
38,193,173,10703,10935
9,142,149,14752,15030
37,136,142,15811,15652
70,136,131,12942,13074
20,155,151,20925,20738
76,141,143,9587,9510
31,154,152,20732,20751
97,140,137,12322,12201
140,106,105,5953,6012
1,191,190,15850,16213
25,152,155,12591,12905
105,106,112,3773,3778
24,127,127,9867,10030
122,98,100,6860,7004
18,154,147,18945,18743
41,176,173,16054,16027
30,151,148,13067,12953
27,135,135,7618,7638
83,144,146,5407,5362
34,155,146,5209,5197
62,112,100,4304,4331
118,147,139,6112,5951
56,117,113,4602,4598
60,116,128,3932,3975
95,97,97,3669,3725
68,130,143,3434,3493
44,158,164,8890,8852
108,159,155,8208,8186
29,152,136,10644,10695
87,158,154,5576,5688
65,129,136,3339,3256
390,65,58,2355,2354
67,225,208,8643,8709
32,136,135,7890,7926
77,132,132,4053,4066
88,111,110,2070,2121
53,145,150,7528,7543
22,129,127,5942,5891
102,132,142,4013,4035
189,113,120,2403,2355
43,153,153,4372,4362
49,136,140,3394,3539
63,124,120,4027,4073
66,137,133,2962,2931
385,82,82,1530,1503
99,119,120,4815,4986
36,114,117,3480,3452
79,130,131,2666,2663
45,146,142,5823,5863
157,53,60,1031,1051
85,136,146,3014,3034
55,116,111,4339,4421
52,134,137,2909,2890
91,123,130,2910,2920
74,133,130,4003,4154
132,122,111,2429,2383
59,160,155,4053,4007
100,108,108,2213,1967
156,139,145,1855,1902
71,137,139,2489,2459
131,107,108,1326,1347
175,78,79,1140,1111
350,31,35,843,845
40,135,127,3916,4077
42,142,138,5279,5203
124,123,131,2991,3105
23,158,154,5929,6009
138,52,57,977,1012
107,98,103,1448,1451
69,130,133,3322,3425
115,123,122,3058,3016
136,55,51,913,903
73,116,112,2168,2131
92,108,100,1914,1952
47,119,118,2465,2549
72,107,98,1523,1475
143,60,61,793,793
75,126,121,2862,2703
61,112,118,2344,2213
82,122,121,2028,2157
94,123,122,1601,1658
149,46,43,527,517
174,125,123,1595,1674
181,34,39,698,679
134,58,66,1154,1160
180,65,66,947,921
123,81,79,1121,1120
125,66,81,1435,1375
133,46,45,648,666
90,118,119,2114,2124
93,117,115,2392,2401
293,42,42,593,596
103,96,96,1303,1252
515,40,44,452,468
111,92,92,1403,1386
227,46,44,461,430
399,48,44,497,486
110,100,110,1633,1680
183,43,45,629,624
89,121,112,1952,1932
116,72,63,825,830
161,41,38,407,422
86,86,96,1423,1434
148,34,36,502,506
565,48,42,411,435
113,88,87,1030,1023
84,98,100,1294,1292
206,32,35,306,312
164,65,61,1015,993
318,60,60,420,416
401,21,19,192,178
163,30,35,295,293
154,54,57,679,683
96,84,93,963,993
176,32,27,243,236
375,19,26,317,321
117,57,76,536,551
78,103,111,1230,1193
144,40,43,655,665
196,21,25,301,300
135,44,34,406,379
182,31,25,330,336
192,31,36,278,257
553,28,36,443,460
128,76,81,878,806
170,44,46,310,300
112,100,96,760,752
188,39,42,386,309
194,35,38,393,421
403,15,10,219,212
208,75,73,585,614
211,40,46,455,480
409,33,28,236,247
397,48,51,217,224
499,12,12,135,128
160,54,51,506,617
145,60,64,416,457
186,44,43,577,575
191,58,73,443,484
64,95,92,893,886
417,10,7,127,137
468,7,5,123,109
126,58,61,537,568
184,105,102,903,953
418,20,25,130,124
427,18,18,131,127
153,25,34,240,254
142,56,58,560,547
539,17,21,222,227
197,62,58,444,443
199,27,30,271,279
483,24,27,239,265
338,37,36,333,323
137,25,23,173,184
147,14,16,130,158
169,36,40,306,288
324,29,28,137,129
439,14,15,94,103
166,37,37,330,296
178,36,42,296,311
207,73,80,410,414
360,16,17,179,159
141,72,58,344,316
158,41,36,265,261
342,14,9,104,96
277,22,19,123,126
155,57,51,263,266
201,22,28,142,147
172,33,33,256,255
339,10,12,71,81
151,28,26,141,134
294,21,21,123,126
150,39,41,280,287
279,7,5,58,70
254,15,18,79,70
204,46,39,315,301
373,13,12,78,54
386,21,22,152,111
130,29,32,189,224
225,7,8,51,60
545,19,17,133,119
310,11,15,107,96
177,56,58,328,345
570,42,41,246,267
295,19,22,94,83
195,8,14,59,95
530,12,13,91,89
243,7,8,71,70
327,13,7,78,74
551,75,69,381,382
226,11,10,81,57
441,6,7,51,51
80,83,80,494,518
568,19,13,68,58
173,41,48,262,269
550,19,16,126,118
475,27,26,235,236
152,25,27,119,121
469,27,20,100,100
348,6,7,48,53
413,44,50,133,128
190,28,25,111,131
498,9,8,56,41
167,16,17,94,86
546,18,14,86,83
384,23,28,71,61
209,24,23,117,131
459,10,10,59,43
198,17,19,83,82
232,7,7,53,60
205,62,54,280,250
248,3,5,33,17
168,25,28,165,168
559,10,20,50,87
462,2,3,31,25
533,4,3,38,39
557,5,7,34,33
