cve_mun,grado_entrante,grado_saliente,fuerza_entrante,fuerza_saliente
39,196,188,26335,26091
120,123,125,8289,8433
98,117,121,8501,8532
6,158,163,22617,22346
7,156,156,23975,24451
28,153,165,11032,11124
105,92,97,4095,4079
5,161,158,24560,24800
104,115,125,10854,10688
17,145,143,18062,17673
15,152,156,18739,18335
11,141,140,11548,11712
35,139,133,7410,7295
14,171,168,18341,17755
50,133,132,6754,6917
13,144,150,13975,13974
3,155,155,14499,14316
12,139,135,11915,11995
16,139,147,12029,12203
101,140,140,6868,6981
10,157,159,15355,15580
2,155,152,13860,14131
119,98,111,2841,2927
114,195,196,8952,8900
33,147,150,14886,14749
57,125,127,6961,7103
26,130,125,7329,7287
58,135,142,10838,11047
46,118,121,6541,6450
106,130,131,6590,6613
54,117,116,3702,3711
81,113,114,3950,4002
8,139,136,7160,7200
31,136,133,8664,8825
97,125,132,5382,5407
9,141,131,5737,5716
38,123,130,3956,3948
51,129,129,4647,4703
48,143,149,7451,7479
193,134,130,2886,2899
21,126,115,6156,6060
19,138,145,5226,5379
41,142,144,6690,6846
30,130,126,5869,6065
27,120,124,3304,3359
4,162,161,10802,10833
109,112,113,5741,5694
20,143,141,10240,9763
121,113,108,5805,5922
18,130,131,7204,6960
70,118,119,5380,5432
25,123,129,5613,5758
1,173,179,7223,7324
56,88,89,2065,2053
122,77,87,2753,2761
24,114,118,4109,4092
37,126,131,5086,5217
88,86,93,1171,1171
53,143,138,3984,3970
83,130,124,2607,2512
60,101,101,2031,2029
29,126,126,4154,4122
87,134,141,2655,2718
65,103,111,1683,1647
118,132,138,2521,2510
32,115,111,3589,3614
140,82,80,1560,1549
22,104,113,2196,2200
95,81,83,1314,1336
76,114,122,2400,2317
43,140,133,1948,2011
108,147,141,3398,3376
44,161,160,3552,3551
68,124,128,1366,1345
34,125,132,2088,2032
67,188,176,3624,3610
390,54,49,707,707
77,110,112,1611,1582
385,101,91,879,843
55,102,101,1815,1757
156,96,98,943,971
100,77,79,895,905
36,108,110,1589,1560
85,114,119,1532,1501
62,90,95,1139,1112
42,120,124,2055,2039
61,91,91,981,1100
157,46,53,416,381
99,107,103,2144,2168
91,98,96,1200,1226
45,135,127,2187,2160
75,103,97,1255,1331
82,100,104,984,949
49,103,106,929,954
52,118,113,1130,1118
102,127,131,1581,1596
89,109,103,921,911
131,74,77,567,605
175,56,48,419,388
103,148,135,1526,1205
69,112,115,1376,1398
23,147,135,2525,2513
47,92,91,1231,1267
63,114,112,1376,1394
149,26,30,248,247
115,106,96,1358,1308
93,98,102,1167,1153
138,38,38,380,383
107,87,85,684,630
59,127,117,1751,1744
154,46,45,337,356
92,81,79,802,824
79,107,104,848,846
72,83,88,553,567
90,84,90,864,917
40,111,121,1822,1777
66,106,104,1095,1034
132,83,83,816,827
74,106,110,1352,1303
133,40,48,384,367
399,45,37,237,251
134,49,41,392,380
71,115,125,974,1007
143,44,39,302,301
110,77,75,647,633
124,106,105,1211,1209
206,28,31,216,216
515,29,32,225,233
94,93,86,623,643
117,43,43,324,319
350,27,22,229,225
123,64,72,497,504
189,79,73,545,521
86,75,79,581,581
78,93,86,699,721
164,53,58,438,419
153,21,30,172,174
171,22,20,129,124
174,84,85,679,667
318,48,38,158,164
401,20,24,116,112
181,23,26,231,230
293,28,28,172,174
113,61,53,397,401
161,34,27,156,135
182,23,20,159,181
73,101,106,779,816
126,45,46,292,284
142,39,43,264,286
183,40,37,234,239
565,28,39,201,210
192,18,21,83,105
170,33,43,229,262
136,36,36,213,209
180,47,54,251,295
505,15,21,86,85
227,30,33,155,157
208,54,57,225,236
80,64,61,373,384
125,64,57,459,444
191,42,42,180,185
84,77,80,442,398
96,70,72,418,436
112,86,81,471,464
403,13,10,102,98
427,11,9,60,57
211,28,27,178,185
207,57,56,246,258
173,25,22,148,154
163,18,21,102,104
111,81,76,437,394
141,39,25,158,118
397,60,48,155,155
150,32,29,145,147
539,10,11,85,80
135,33,25,137,124
196,21,20,158,171
116,58,53,249,236
158,34,37,161,165
128,62,54,350,352
375,18,17,113,117
169,34,27,116,106
188,30,33,139,154
179,18,16,78,65
184,67,73,308,303
64,75,73,410,405
210,20,22,87,75
199,19,21,138,134
194,34,38,200,196
297,4,5,37,39
382,3,3,38,37
531,5,4,36,45
176,24,18,58,64
