cve_mun,grado_entrante,grado_saliente,fuerza_entrante,fuerza_saliente
28,183,191,18384,18309
105,124,117,6252,6161
7,166,170,33572,33888
11,161,163,18705,18521
39,201,208,35997,35969
98,128,132,10757,10556
120,157,152,12388,12555
6,175,175,26766,27157
5,176,178,32876,32930
104,143,143,11018,11041
101,149,149,11343,11231
2,160,161,24214,24214
50,157,151,11920,11964
13,160,164,20014,19947
14,159,160,18331,18372
35,163,160,11132,11124
15,170,179,17344,17563
17,152,159,20369,20354
97,137,138,9495,9382
58,158,154,15074,15132
46,127,136,9346,9358
1,193,188,14620,14779
4,171,167,21565,21506
33,156,159,23407,23357
3,171,173,19347,19465
12,155,155,17204,17178
81,126,125,7577,7430
26,136,141,10091,10226
31,169,162,15379,15238
10,166,174,19620,19819
8,149,146,12225,12426
16,160,167,13490,13392
18,143,141,13126,12972
114,199,210,13657,13637
119,124,132,2942,2962
20,152,145,17477,17575
54,126,124,5560,5699
106,144,142,10926,10903
25,140,143,8828,8778
122,96,98,3966,3880
19,162,163,8584,8749
9,142,146,9071,8927
38,153,148,5594,5491
121,123,120,7075,7059
51,144,146,6679,6691
48,167,167,11032,11020
83,145,142,4448,4314
37,147,149,11584,11567
57,144,147,7905,7811
109,129,131,7256,7261
41,170,168,10108,10029
193,143,144,4815,4805
21,142,144,8754,8700
27,132,135,4873,4920
30,141,149,10894,10793
53,153,155,7099,7200
88,111,106,1690,1641
189,114,102,1849,1850
124,126,125,3428,3458
32,136,127,8252,7995
70,143,144,6257,6339
63,122,126,2859,2824
47,104,110,2788,2805
56,116,109,2743,2762
118,134,137,3336,3443
29,147,149,7182,7058
24,132,134,5729,5649
44,169,164,5545,5664
68,135,136,2437,2493
75,123,123,2514,2487
61,115,109,2009,2055
55,137,138,3891,3962
92,110,103,2630,2717
85,159,167,2435,2556
87,163,164,4083,4174
66,126,122,2669,2823
42,138,134,4662,4634
60,118,118,2481,2478
108,140,140,5011,4980
65,135,141,2520,2403
100,98,102,2270,2297
156,135,125,1408,1380
82,115,110,1528,1576
34,150,145,2685,2750
91,127,131,2177,2112
22,122,129,4093,4129
123,73,86,1271,1295
140,97,98,1558,1611
95,100,100,1426,1377
76,131,137,3337,3392
43,173,166,3636,3506
67,195,191,5044,5064
40,149,140,3525,3466
52,128,130,2328,2346
115,122,123,2047,2014
90,102,103,1324,1470
62,105,104,1572,1577
390,64,64,659,651
59,154,153,3278,3159
99,116,116,3492,3446
45,139,142,3650,3676
103,77,84,820,851
77,128,135,2815,2773
69,126,130,2910,2907
36,114,111,2894,2860
23,159,164,4592,4734
133,49,46,492,482
73,121,125,1758,1714
126,113,112,1217,1110
89,122,130,1677,1720
49,110,111,1694,1707
174,109,109,1098,1080
