cve_mun,grado_entrante,grado_saliente,fuerza_entrante,fuerza_saliente
105,119,115,7596,7566
28,164,160,16280,16151
7,166,166,32836,32916
6,161,165,32487,31967
39,190,185,35346,35436
120,141,138,11422,11447
98,127,126,11482,11515
11,158,159,16560,16823
5,164,165,32288,32338
104,134,121,12894,12867
14,163,166,21259,21027
35,147,155,9929,9979
101,146,146,10193,10115
50,135,140,7868,8052
13,168,160,21436,20969
17,152,149,17458,17511
15,177,176,19042,19439
12,145,146,17149,16983
3,171,179,18023,18183
16,153,151,15000,14648
31,152,150,13589,13615
26,123,128,10299,10281
121,116,112,7822,8065
2,154,153,18763,18859
97,129,130,8437,8905
10,178,175,21695,21654
33,149,160,19710,19992
46,137,143,8528,8314
58,154,144,14382,14385
4,161,164,18338,17992
8,150,148,9610,9851
57,136,130,8604,8546
1,183,183,12608,12573
114,210,216,12095,12194
119,101,102,2708,2723
38,147,143,5329,5347
9,154,152,7882,7632
81,125,124,5675,5733
18,138,151,11586,11449
106,136,134,9491,9640
54,121,126,4263,4359
51,139,135,6393,6275
48,154,146,10498,10567
21,139,135,9006,9042
30,145,134,8497,8528
32,128,126,6497,6278
122,96,102,3415,3396
193,149,154,3781,3793
19,164,156,7727,7565
37,138,133,9402,9260
20,140,139,14187,14026
109,108,109,6916,6943
25,133,140,7312,7197
41,193,184,10871,10618
83,152,153,3162,3186
29,150,149,6111,6163
70,124,120,6403,6402
88,102,105,1319,1384
53,140,146,6356,6083
56,123,128,2591,2555
27,123,125,3919,3877
24,125,122,4601,4629
118,131,132,3165,3103
156,127,125,1588,1567
60,109,108,2270,2359
76,122,121,3000,2962
55,104,104,2661,2757
140,99,105,1743,1722
44,163,158,4851,4925
68,131,141,2141,2146
87,165,156,3483,3402
65,127,127,2462,2367
42,131,128,3301,3329
67,187,196,4439,4526
390,56,57,752,766
108,151,151,4815,4822
95,85,92,1573,1619
43,159,155,2864,2951
34,133,138,2165,2205
85,132,141,1928,1943
77,124,126,2056,2062
22,114,116,3088,3114
385,101,96,825,813
82,107,109,1401,1319
157,53,48,501,547
66,110,108,1371,1533
69,122,116,2254,2194
62,97,99,1377,1388
99,122,110,2727,2657
40,113,119,2287,2325
45,147,135,2841,2871
115,125,120,1540,1592
36,114,110,2152,2181
59,132,137,2238,2266
149,38,37,374,383
63,112,120,1612,1703
86,74,86,879,892
73,122,126,1578,1540
71,119,127,1167,1287
84,98,101,1118,1024
91,113,106,1523,1526
92,81,88,1101,1136
52,135,145,1558,1696
138,75,76,586,600
124,128,120,1748,1662
189,106,95,883,826
49,113,101,1280,1306
79,124,117,1116,1138
515,31,32,316,318
75,109,108,1588,1587
74,122,124,1986,2113
103,78,76,618,616
175,62,62,431,437
131,100,101,835,804
61,106,103,1101,1245
89,114,115,1325,1349
206,38,38,303,274
78,97,96,893,897
197,57,50,416,305
107,93,90,814,850
23,156,150,3113,3105
100,94,87,1110,1122
110,99,91,1073,1031
47,112,119,1216,1313
93,112,115,1748,1697
133,44,47,416,452
64,92,93,920,985
318,40,41,224,240
401,29,22,235,226
183,52,52,391,394
102,128,130,2120,2111
399,64,59,590,586
72,105,98,734,774
293,36,35,265,268
132,98,99,1104,1086
123,76,74,919,798
116,66,68,513,589
143,39,36,290,287
551,68,73,279,359
145,31,31,225,169
164,65,60,469,476
90,101,110,995,1055
417,24,25,267,298
360,21,18,177,167
505,15,14,116,116
80,72,74,500,536
94,94,96,652,704
350,32,27,225,226
134,64,65,344,365
190,28,28,255,293
144,47,69,379,369
161,25,25,227,221
184,89,88,474,475
182,25,22,213,217
174,127,124,859,854
117,50,49,388,360
146,16,14,115,158
154,41,42,340,336
125,69,73,582,579
148,21,25,281,283
136,49,48,282,280
150,38,30,272,245
427,16,19,106,105
160,47,45,293,261
211,47,53,237,261
214,12,11,133,124
173,26,22,171,187
113,91,78,671,682
141,47,39,226,212
96,70,77,490,526
126,77,70,377,360
491,16,19,77,104
386,15,16,105,91
227,35,38,227,252
192,24,27,153,162
179,25,26,153,164
207,53,51,290,274
177,35,37,202,216
194,53,58,237,227
234,10,10,73,67
180,68,77,428,390
181,34,31,232,234
559,16,19,84,94
223,13,12,131,107
135,29,22,211,202
433,3,3,40,62
202,24,22,163,130
208,57,72,264,283
112,97,100,589,559
172,32,35,174,195
568,15,16,82,81
111,78,75,450,467
533,3,3,45,44
142,41,43,203,208
191,37,33,180,199
199,24,23,153,140
472,4,6,52,45
294,13,13,91,94
565,44,48,210,217
128,59,57,300,286
375,22,24,104,102
170,30,28,131,121
129,29,23,112,108
475,27,29,123,191
298,15,13,116,57
186,30,38,211,209
324,21,25,78,87
439,13,10,73,58
333,16,17,86,86
273,9,9,64,75
511,5,5,38,36
342,19,19,99,108
403,22,16,102,98
196,21,26,127,146
188,21,22,109,105
130,31,33,175,175
158,27,28,151,154
500,15,18,60,72
447,11,13,71,69
377,13,15,60,61
553,26,23,124,122
396,3,5,22,32
155,48,46,170,158
209,16,18,96,94
153,24,27,124,122
539,17,15,84,83
545,37,23,87,68
185,27,26,96,85
176,18,13,52,52
171,18,23,91,79
151,14,21,72,77
205,48,47,161,167
566,11,8,41,42
187,23,20,70,59
310,12,11,57,60
338,25,24,146,129
201,33,27,68,99
137,17,16,66,43
169,31,32,128,125
316,9,8,39,48
297,8,9,31,36
178,34,35,124,128
200,19,24,56,69
163,19,25,69,79
306,1,1,18,20
327,8,8,42,36
449,2,4,22,23
409,16,18,74,78
421,11,18,40,55
212,14,14,97,96
482,29,31,67,78
414,6,6,34,28
489,6,7,30,23
570,35,35,113,103
139,15,13,65,65
216,10,9,38,37
279,4,3,25,30
210,27,27,79,89
406,7,7,33,25
243,4,5,31,32
441,5,7,24,22
531,4,6,24,27
204,44,43,144,130
159,13,14,52,51
526,13,14,51,46
166,21,20,75,74
232,5,5,25,25
459,6,5,23,23
468,4,5,27,9
469,18,24,47,65
340,6,6,22,44
496,13,12,43,53
336,6,6,39,42
278,16,15,66,61
