cve_mun,grado_entrante,grado_saliente,fuerza_entrante,fuerza_saliente
28,181,183,20561,20608
105,121,118,8307,8356
39,205,205,39279,39231
120,161,159,14213,14119
11,168,166,20227,20527
7,159,162,37820,37680
98,137,133,12227,12356
6,176,175,31052,31246
5,179,176,40942,40903
104,144,145,12719,12846
101,149,150,13012,13111
15,182,173,19675,19859
17,170,163,22948,23008
35,171,169,12950,12940
14,168,166,21652,21775
3,172,180,22146,22208
2,167,160,26764,26722
97,136,133,11050,10697
4,166,175,23682,23956
33,157,164,25930,25940
13,163,158,21582,21671
50,143,143,12730,12488
58,157,154,16791,16880
12,159,159,19054,19015
37,145,143,14257,14037
1,199,196,15521,15568
81,129,130,8072,7985
18,151,155,12773,13000
10,175,175,22026,21717
8,149,152,14300,13891
46,141,148,9138,9289
26,158,150,11448,11502
31,159,156,16329,16130
16,170,171,15208,15351
119,124,127,2949,2972
114,224,223,14785,14802
20,141,139,18621,18847
57,131,154,9378,9381
122,102,110,4389,4429
38,143,151,6224,6210
9,155,154,10027,10007
54,123,128,5990,6086
106,146,143,12017,12143
121,126,127,8284,8093
51,146,146,7959,8090
48,180,172,12879,12760
25,150,148,9802,9867
41,175,172,11032,11141
83,148,147,4600,4668
193,141,147,5445,5468
21,135,139,9408,9508
19,162,171,10454,10417
27,136,147,5412,5381
30,145,144,10882,10507
109,130,126,7876,7878
124,125,124,3334,3290
189,105,115,2078,2027
70,135,140,7102,7089
53,154,156,7692,7530
88,117,119,2043,2043
56,118,115,2963,3013
47,112,104,3157,3176
66,137,138,4184,4038
24,133,138,5733,5837
29,150,157,7704,7816
32,132,132,8466,8486
63,132,134,3141,3106
118,131,140,4038,4011
22,123,129,4777,4827
55,130,134,3732,3512
60,121,127,3181,3231
108,153,146,5746,5739
156,123,129,1548,1595
75,121,122,2833,2862
68,146,144,2846,2876
100,101,98,2335,2326
61,135,137,2103,2084
42,147,146,5793,5698
92,108,103,3096,2924
87,161,170,4113,4116
140,101,97,1767,1770
138,52,51,819,827
77,133,136,2913,2913
44,172,162,6712,6711
65,136,137,2888,3050
76,127,122,4119,3966
99,119,120,3774,3818
43,160,155,4041,4148
89,114,115,2256,2258
49,114,114,2121,2107
103,84,80,1136,1152
157,49,51,625,670
160,49,53,595,544
67,203,203,5415,5392
95,100,101,1589,1579
390,55,67,794,821
40,138,139,2908,2817
34,150,157,3162,3247
69,163,153,3366,3263
115,118,123,1980,1936
85,160,158,2574,2608
36,122,120,3012,3042
59,159,162,3099,3189
45,145,149,3863,3939
62,98,102,1673,1643
90,112,111,1598,1530
385,108,114,935,963
133,51,59,484,476
23,165,163,4902,4728
110,99,100,1197,1190
73,127,118,1772,1726
107,96,98,1161,1178
123,79,80,1122,1095
52,132,135,2472,2411
174,110,109,1275,1243
197,70,60,641,703
182,25,25,353,337
102,142,135,3286,3272
82,116,111,1354,1389
149,46,42,436,431
91,134,119,2178,2122
126,108,102,800,805
74,126,129,2374,2355
196,32,31,428,440
399,46,43,441,422
86,107,98,1448,1360
293,36,38,319,322
132,108,113,1383,1381
143,59,61,475,463
79,123,119,1651,1610
93,117,119,2373,2444
94,110,109,998,1023
330,25,21,321,336
139,20,14,210,205
363,9,8,163,163
64,90,83,1216,1273
505,15,16,200,189
144,47,54,558,595
112,108,96,860,832
84,98,104,1263,1284
154,70,64,582,633
96,100,104,1617,1625
316,12,13,169,234
475,27,29,337,340
117,71,65,670,670
131,105,103,885,898
150,38,37,444,519
