cve_mun,grado_entrante,grado_saliente,fuerza_entrante,fuerza_saliente
28,165,172,13932,13950
105,103,106,6098,6156
120,129,130,10339,10342
39,193,188,30603,30320
98,119,123,9390,9450
7,153,152,25205,25354
11,152,151,13163,13071
6,166,168,23519,23392
3,187,184,18341,18097
12,145,144,13706,13566
104,129,134,10497,10572
5,163,158,24902,24703
35,157,148,8634,8619
14,164,160,16508,16704
17,144,139,15714,15627
15,163,173,16572,16798
16,137,143,12448,12609
4,159,160,14635,14722
101,143,140,8027,7933
10,161,171,16808,16784
97,123,124,7524,7573
46,121,118,6966,6855
58,135,141,11882,11856
50,144,134,6159,6285
13,153,156,14758,14646
2,144,142,14903,14774
26,120,124,7775,7836
54,124,127,3852,3921
106,140,141,8577,8321
57,134,140,7345,7312
8,133,142,8446,8582
33,147,150,15545,15409
114,192,197,9130,9203
119,109,95,2556,2480
81,121,123,4476,4520
31,135,145,9897,9844
48,151,150,8669,8516
51,136,137,5404,5431
18,132,142,8351,8738
1,178,189,8885,9020
19,150,149,5840,5968
25,137,138,6399,6362
193,158,156,3677,3668
9,142,136,5976,6034
38,152,155,4068,4134
122,91,89,3118,3032
121,117,117,6061,6107
109,115,125,5656,5592
21,130,125,6223,6300
41,149,149,7661,7454
30,138,134,7085,7277
20,143,141,10175,10124
24,129,126,4656,4447
70,123,123,5467,5507
56,94,98,2013,2055
37,134,131,6182,6349
32,126,125,4999,4966
118,132,133,2650,2603
83,146,138,2553,2577
60,109,111,2131,2147
108,158,150,3612,3602
53,143,143,4413,4412
88,96,93,1143,1172
63,114,116,1729,1864
66,111,109,1859,1784
27,119,126,3279,3268
29,131,139,4596,4620
140,85,93,1293,1356
95,95,94,1371,1380
87,156,158,2834,2929
65,112,115,1704,1698
156,120,116,1181,1258
76,118,122,2957,2919
67,186,202,3998,4001
390,55,60,729,739
43,152,150,2309,2387
22,120,115,3009,2855
68,134,129,1528,1583
44,161,149,3727,3589
77,117,116,1719,1773
385,82,79,629,606
34,142,130,1836,1745
69,121,122,1781,1813
157,44,51,467,473
91,104,100,1353,1338
192,28,29,292,295
62,93,98,1349,1342
107,85,86,719,791
40,117,119,1960,1947
42,128,130,2624,2640
99,109,109,2490,2481
85,149,140,1601,1506
52,119,121,1793,1725
399,59,59,572,553
82,107,106,1049,1045
36,105,109,1938,1922
100,96,102,890,928
45,136,132,2345,2360
55,109,107,1732,1743
110,90,93,778,784
115,116,119,1282,1345
126,44,46,360,343
75,131,113,1382,1319
124,115,127,1563,1572
189,82,76,874,813
183,40,41,373,369
102,123,124,1790,1848
59,135,129,1654,1682
49,100,96,952,951
47,101,111,1179,1076
103,87,87,616,642
138,44,46,436,456
84,103,115,1003,1019
92,86,90,1024,979
175,48,48,405,423
131,94,91,605,572
23,146,146,2780,2911
93,115,106,1396,1387
133,29,35,269,264
94,96,93,694,689
61,109,103,1129,1205
161,25,31,224,246
177,31,36,235,205
73,105,107,1267,1256
71,118,124,1178,1277
149,28,27,224,245
74,113,111,1632,1588
174,96,99,773,770
206,30,37,177,192
78,101,95,992,1029
143,31,35,303,305
132,89,91,925,982
123,66,69,534,577
112,84,84,580,575
79,127,127,1020,1013
293,24,29,190,193
113,84,79,652,685
396,8,8,101,114
179,22,25,181,215
350,23,28,237,239
433,3,3,74,96
202,19,19,178,151
515,29,31,225,210
89,116,113,1234,1201
136,49,48,302,298
184,65,74,406,405
134,48,69,399,417
154,58,55,382,348
72,99,95,762,705
318,39,38,158,147
401,33,25,134,110
197,58,45,319,287
150,33,33,264,283
111,72,65,394,431
483,10,11,88,103
360,17,19,156,186
387,12,12,98,93
117,44,55,381,363
96,80,81,771,730
190,58,35,318,266
64,84,83,639,626
227,28,34,236,243
182,21,22,142,148
176,34,47,118,139
196,32,33,168,172
141,38,39,162,176
191,39,38,227,231
90,97,90,767,771
147,13,12,82,84
169,28,26,137,125
565,42,37,227,225
116,44,42,251,264
210,20,25,115,126
397,49,42,163,147
211,40,43,240,254
80,60,63,480,474
539,14,10,150,137
125,81,71,559,557
148,23,18,273,243
294,13,12,143,151
545,17,15,108,114
180,51,54,279,259
144,55,55,340,359
164,60,51,408,382
427,22,19,85,86
452,16,12,79,53
403,14,16,100,106
145,51,48,277,244
324,32,30,153,159
439,13,14,78,78
505,13,7,65,60
375,13,11,106,105
186,31,29,217,218
205,64,66,255,231
252,5,4,27,47
217,16,17,102,94
86,75,87,555,561
207,60,57,312,298
482,56,59,133,187
450,12,14,32,69
229,16,16,106,109
166,30,26,177,193
158,24,26,128,153
199,40,43,176,184
135,23,24,109,106
502,13,15,69,58
494,16,12,78,79
553,16,13,101,101
409,21,22,142,133
342,9,13,65,70
208,61,62,272,269
278,15,13,115,117
429,8,10,58,70
364,11,12,55,49
247,9,11,41,53
519,11,8,58,48
214,24,19,97,96
276,2,2,44,44
153,27,28,97,108
142,61,54,212,198
159,11,9,68,57
188,22,24,108,107
170,30,32,132,123
128,53,54,237,233
155,52,43,186,174
277,20,15,97,90
173,24,24,109,125
544,5,5,31,23
163,22,26,79,81
516,5,8,30,36
234,6,4,33,31
379,10,13,17,45
480,3,2,31,2
129,26,19,83,80
413,41,38,141,129
570,45,33,120,108
146,13,15,60,74
194,36,36,154,137
371,7,7,37,35
200,13,13,45,88
386,15,15,62,59
151,30,25,88,103
160,50,51,212,237
181,29,29,139,136
127,8,8,45,50
540,14,12,51,20
498,6,5,35,29
130,15,18,53,90
437,5,4,29,26
462,2,2,21,22
204,26,35,119,126
178,39,35,146,129
338,16,19,73,77
517,8,10,32,32
443,6,5,29,21
530,7,6,28,32
243,6,5,32,28
381,4,4,22,23
472,3,4,21,23
171,22,25,77,79
349,6,4,29,25
473,30,13,87,26
526,8,9,27,29
339,12,15,47,45
279,3,2,24,23
254,5,3,24,20
555,8,7,33,32
172,36,37,138,125
212,21,19,98,83
203,20,16,50,60
562,5,6,27,17
274,4,4,24,17
198,10,12,36,38
382,4,7,9,25
297,10,7,45,17
490,11,11,46,44
201,24,30,94,98
209,22,21,81,70
459,4,5,24,26
551,43,43,116,123
327,14,38,59,84
162,14,18,49,52
559,13,14,36,42
187,17,18,49,58
165,14,10,32,39
511,3,4,15,17
557,9,9,25,23
232,6,8,18,33
315,4,4,17,17
533,2,3,12,15
546,8,10,24,26
295,17,17,43,52
248,2,2,11,13
469,19,12,58,38
414,4,6,20,21
531,3,3,8,13
328,9,11,40,36
467,10,10,28,23
137,17,9,41,34
310,13,13,40,38
532,2,1,10,10
457,9,8,13,23
213,11,10,30,25
272,3,2,15,12
358,11,8,27,14
550,13,8,31,27
398,9,6,26,15
549,7,7,21,22
185,15,22,42,45
269,4,6,19,20
326,5,4,20,12
152,17,20,47,45
421,19,12,29,23
475,17,17,59,46
333,12,11,21,22
298,13,11,26,24
316,3,4,10,7
508,6,5,28,23
312,3,4,11,12
406,5,4,13,14
537,8,6,17,9
216,7,9,19,20
309,5,3,12,8
348,7,5,14,17
566,10,10,27,19
417,3,5,11,17
299,1,3,7,5
265,10,4,18,11
266,6,7,13,18
497,3,3,10,11
441,6,5,12,10
541,4,4,10,10
167,9,10,23,22
560,5,4,15,14
285,3,3,9,10
244,3,5,9,10
446,7,7,13,15
334,19,18,37,37
168,16,15,32,30
351,4,3,17,9
425,2,2,7,6
388,3,2,8,6
528,2,2,7,7
522,4,3,8,8
372,2,1,6,6
513,7,4,13,9
448,3,5,13,10
195,17,17,25,37
340,6,5,14,10
435,4,3,9,4
275,1,4,6,4
455,2,2,7,7
447,8,13,16,22
233,3,2,9,9
407,3,3,8,8
139,9,10,21,24
468,8,7,19,22
418,4,6,15,17
321,1,1,2,5
325,9,7,13,15
378,9,9,16,15
308,7,5,16,12
303,7,5,10,11
