cve_mun,grado_entrante,grado_saliente,fuerza_entrante,fuerza_saliente
39,216,213,38120,38421
120,144,144,12823,12926
98,132,123,11904,11781
5,176,178,33919,34106
104,125,132,14009,13964
6,183,179,30807,30753
7,163,164,33053,32908
11,154,149,16399,16467
14,175,178,25702,25440
28,175,173,12874,12720
35,143,149,10147,10217
15,170,167,23363,23285
17,152,148,21172,21164
16,156,158,17419,17624
101,148,154,10769,10679
10,178,173,22252,21921
105,118,120,3779,3859
12,143,146,16286,16497
3,179,169,20779,20542
2,159,160,20327,20293
97,134,130,8921,8744
58,146,143,16116,16173
13,164,164,19375,19442
50,136,141,9099,9280
46,130,129,8575,8622
119,119,121,3116,3339
114,219,217,13236,13118
26,135,149,9981,10121
33,148,160,21754,21797
30,134,133,9320,9624
27,129,134,5755,5454
57,135,138,8843,8866
8,159,155,10742,10363
9,147,141,8283,8719
38,144,142,5881,5863
31,161,158,14111,14122
4,177,172,17460,17158
81,122,122,6283,6259
106,148,143,9632,9668
54,125,128,4925,4928
51,153,157,6965,7102
48,151,150,10788,10962
109,126,132,8287,8369
20,155,143,16527,16067
25,150,148,9695,9582
193,146,150,4357,4417
121,117,108,8424,8343
19,165,158,8159,8160
18,139,141,10498,10655
41,157,156,9535,9677
21,142,140,8932,8990
1,200,199,11795,11806
122,104,113,3921,3971
37,135,131,8594,8467
70,133,127,6427,6464
24,133,134,5895,5929
56,126,124,2705,2795
88,112,101,1706,1692
53,148,143,6544,6383
83,143,141,3290,3384
32,120,115,6545,6732
118,154,144,3355,3335
22,118,107,3485,3467
60,112,110,3181,3162
29,135,145,6290,6077
108,160,165,4709,4673
66,119,120,2026,2027
63,125,125,2456,2442
67,202,196,4939,4935
390,56,62,939,926
156,129,115,1512,1459
140,88,94,1631,1572
95,92,102,1639,1623
76,144,136,3612,3627
87,169,165,3494,3453
65,116,127,2129,2187
385,117,113,1243,1277
34,136,135,2978,2927
44,171,170,5172,5105
68,132,136,1982,1953
43,162,165,3371,3276
42,134,134,3686,3744
55,122,124,2411,2316
77,126,122,1926,1933
62,105,110,1634,1606
47,119,123,2152,2097
100,90,93,1455,1525
91,119,120,1862,1920
103,121,114,1153,1067
61,117,114,1635,1610
36,119,122,2419,2298
85,137,136,1983,2039
157,52,53,509,506
40,127,134,2692,2814
113,71,66,764,768
99,107,118,2721,2817
82,110,116,1346,1378
90,104,107,1225,1281
92,94,96,1660,1636
45,155,147,2994,3080
52,131,124,1758,1645
23,144,150,3443,3479
69,116,121,1761,1861
115,127,119,1777,1774
59,141,151,2326,2513
116,49,55,520,373
181,37,44,547,516
189,109,95,943,920
124,122,125,2073,2059
102,131,133,2232,2214
86,85,90,852,935
75,131,120,1777,1835
110,100,97,1159,1156
175,79,71,527,501
131,113,111,778,787
89,123,115,1564,1567
132,108,111,1157,1148
74,147,132,2244,2100
143,49,47,347,381
49,107,116,1342,1380
71,133,140,1539,1553
138,50,49,476,477
64,78,82,749,719
133,60,51,472,476
123,73,74,918,911
399,47,58,403,445
154,55,50,446,433
72,93,94,655,634
350,32,32,278,275
161,40,41,244,256
149,41,40,323,326
174,117,116,981,1032
93,103,115,1501,1628
125,65,88,531,562
94,102,92,742,700
206,49,47,247,237
515,42,44,287,287
79,137,135,1360,1349
277,21,19,144,165
155,64,71,308,280
347,23,17,201,143
183,53,51,427,440
107,96,92,731,775
73,115,117,1270,1210
84,91,89,682,628
197,91,76,537,499
96,84,89,806,775
164,58,58,506,488
160,60,58,301,309
207,54,54,365,333
182,22,26,187,189
293,30,36,194,205
117,71,69,448,495
78,108,112,1019,1044
318,43,43,155,200
401,22,30,129,116
187,15,16,126,132
177,44,42,245,263
134,53,54,407,413
247,11,7,146,99
168,18,21,116,140
184,114,107,722,670
530,12,10,83,118
180,104,96,597,566
112,81,86,700,721
128,67,64,394,375
