cve_mun,grado_entrante,grado_saliente,fuerza_entrante,fuerza_saliente
39,197,198,53086,53661
120,139,134,18491,18389
7,155,163,41554,41507
6,158,167,44899,44496
12,143,141,26431,26579
3,154,152,28213,28317
98,127,124,16821,16634
28,165,168,20028,20084
105,115,110,8041,7983
15,167,170,31217,31646
16,154,150,29322,29494
14,164,157,35403,35803
10,175,167,36990,37042
17,155,148,26333,26349
5,170,164,43228,42939
104,125,131,20475,20693
19,148,151,12435,12437
11,152,148,20721,20799
119,100,102,7401,7416
114,208,211,15072,15068
46,133,131,16110,16009
35,148,154,11968,11847
26,130,123,15949,15884
57,125,131,15575,15632
8,138,148,13853,13779
13,154,157,26544,26445
106,132,134,12968,12942
54,127,125,7373,7407
4,163,163,23109,22884
101,148,153,11389,11445
21,132,128,11570,11448
48,151,144,14624,14502
51,140,140,10167,10266
58,131,141,17419,17369
2,152,149,23678,23943
121,115,112,11715,11843
109,118,116,9821,9808
38,146,150,7365,7365
9,146,145,10122,10030
31,135,140,13757,13690
193,142,145,4988,4992
33,149,152,22464,22363
81,120,117,6458,6483
97,120,125,9436,9378
50,140,145,8005,8059
37,132,135,10584,10738
1,179,183,12393,12265
20,139,143,14654,14480
18,141,143,13136,12941
70,132,127,8299,8380
76,122,121,5130,5033
140,92,95,3450,3456
24,121,116,6383,6286
25,130,137,8328,8172
122,92,87,4102,4137
41,146,155,9402,9390
118,145,141,4332,4309
56,116,114,3228,3269
44,158,152,6176,6092
68,134,138,2576,2627
83,144,149,3932,3949
60,110,106,2671,2609
29,145,146,6945,7086
34,133,142,2940,3014
62,94,95,2559,2546
27,120,127,4542,4694
30,128,129,8177,8212
32,124,130,5987,5837
88,96,96,1446,1477
53,141,138,6302,6194
108,146,142,5710,5724
95,83,84,2124,2163
87,157,171,3839,3858
65,121,121,2436,2423
49,95,95,2027,1977
390,54,50,1378,1391
67,222,212,5764,5786
77,120,122,2544,2524
43,147,162,3003,3107
22,115,110,3537,3563
385,114,108,1060,1066
156,126,130,1472,1540
85,138,124,2139,2061
91,113,96,1920,1929
36,119,114,2183,2199
157,42,37,688,681
55,111,104,2951,2858
45,138,138,3653,3723
79,121,124,1561,1556
52,126,119,1656,1652
42,126,128,3219,3203
99,110,111,3140,3204
100,86,94,1195,1274
40,133,126,2496,2454
138,70,72,816,796
66,111,103,1420,1257
115,116,121,2038,2055
92,91,87,1332,1251
75,120,120,1892,1899
69,109,106,2389,2433
143,50,51,542,602
132,109,106,1346,1318
103,86,81,880,858
73,113,113,1750,1720
350,25,26,453,436
23,151,148,3629,3562
110,103,98,1316,1269
63,114,108,1972,1998
124,112,116,1710,1700
175,82,74,642,653
131,93,84,883,912
96,74,76,793,739
74,119,115,2291,2195
59,131,132,2316,2277
71,108,112,1372,1391
161,29,30,394,369
94,96,90,828,891
84,88,103,1159,1247
72,92,88,948,943
136,41,45,493,505
90,98,101,1370,1337
107,99,103,1009,965
293,27,29,407,423
133,39,41,394,409
399,48,48,401,407
117,62,61,570,518
123,70,79,989,994
82,98,108,1441,1419
61,108,103,1295,1230
149,41,52,353,363
64,86,90,719,840
93,105,108,1639,1567
47,103,99,1372,1324
116,54,54,539,526
227,34,31,283,269
78,109,106,1154,1107
206,28,31,201,227
111,73,67,690,723
89,107,104,1460,1423
125,64,76,846,863
189,91,101,706,666
515,34,32,261,246
134,53,48,608,610
180,59,61,481,472
427,12,8,138,131
432,22,29,159,326
504,16,13,154,34
