CVEGEO
1902600011654
1904600011229
190190001005A
1903900011826
1904100010347
1902600010124
190180194
190450257
1902500010150
0502700010721
1903800010604
050181504
280320099
280350372
2803200012150
280370875
190130785
190330311
080376133
080281063
0803700016862
0803700014531
080370001254A
2601300010107
260660488
2603000012000
260460184
260482062
08019411A
16018003A
160010013
110010078
1103100010024
1401300010265
1101500670637
1101500010336
110150213
2201400013469
150030155
150030136
2200400010186
1307600010699
1304100010180
150450189
1104400010287
110270001084A
1100400010188
1100500010113
110050077
160870037
1600600010753
0200300011071
310590357
310130057
230110217
230100309
2300200010415
2300500013483
2500603122142
250161047
2501600660994
250010001345A
0503500014285
0503500011295
100071060
1000500012280
100160254
100053043
0801100011564
0801900011740
0801900018358
0300300013068
250121226
1801700011148
1802000130130
260304346
020030707
0200202277872
2605500010323
2604800012857
190440777
280270101
0503000012649
1902600010266
1901800010813
190380093
080112685
280320001085A
2803200011025
1903900013502
190210001072A
1901900010469
1901200010082
0803700014457
0803700017095
080350816
080194410
1611000010200
160880034
1101700010557
110420070
140180045
161060015
11023015A
160670049
1507100010085
2201500010067
150850108
110030212
1101100010572
110370013
1102600010109
2201401015037
1606600010427
160160162
160550052
150420172
150420007037A
3205600010646
0100500010514
141012567
1410100092143
1409800012273
1403900011537
140930228
240280100
2402800013641
2402800013853
240130184
120380458
1204800010365
1409708221969
1403000020088
160450001015A
140040035
141200001340A
140770065
1202800010131
1206600010537
060100001106A
0600200010341
0600200010623
1407000430806
120150063
070190146
070990039
20166001A
200570227
202240015
120012026
203270050
203340178
070680001009A
2700400010511
270040386
270080436
070610154
0707800010433
071010382
070630017
270030124
0900500010597
202780069
300470001007A
3013800010199
210670035
2804100012484
220100022
2402800013251
060090662
1406700010073
14097059A
1409800012983
1409700320053
1700800030644
0901700011399
1606200010080
1406300010318
140470028
140820065
140950044
1412000014569
2015700010063
3010800011018
300320043
2002400010029
2013400010054
1203500011350
120580450
1200100013626
2032700010154
2700402142062
070190150
1202900471457
1205800010501
202400019
2108700010150
2031800090371
070050032
270080351
0710100010363
07061014A
071070117
0710801200491
0701900010451
20184008A
170170130
170150085
150150090
1200100016438
1200100015374
2029300010031
2047500010034
300840020
3002800370727
3003901421470
2101000010028
150510152
3205600011108
320100469
320100350
140730117
1403900014885
1403900013088
1403900010204
1412000015317
1102000011989
210710428
010010001230A
141090037
141240048
320520045
01010011A
130550010
130230001006A
130240048
130240014
130350018
2100400020317
210380029
2901000120382
2903300150974
2111400014025
2111400012550
300990023
130480020
150990419
1503300010277
0900900010312
0901200010939
0900300010624
0901300010211
1502500012106
1505000010174
1501300011249
1510400012309
1512100010267
1510900031576
0901000010578
090040157
0901000010027
0900600010058
2300500013568
310700072
2301000010084
25006266A
0200400014020
020042166
230040001066A
3102700010014
3104100010475
3105000010120
2500600016304
2602600010266
260260321
1001200011107
100360789
0300800540873
