cve_mun_full,num_dispositivos_home_00_08,num_dispositivos_home_00_05,num_dispositivos_home_primero
02004,37222,34146,88040
09007,28121,24096,83693
21114,25802,21731,76351
19039,25218,23028,57569
15033,21946,18438,67633
08037,21687,19030,64906
14039,20859,17866,68444
14120,20488,17961,55061
02002,19577,18287,38698
09005,19267,16515,55434
11020,18274,15226,62951
15058,16818,14297,52373
22014,16212,13747,46529
23005,14621,11908,36396
09010,14558,12807,37241
15057,14534,12526,38663
28032,13929,12025,34523
31050,13021,10759,38251
09012,12828,11194,31986
09003,12469,11041,29428
08019,12348,10993,35373
24028,12105,10439,34777
19026,11968,10603,31936
05030,11262,9674,33983
09014,11055,9991,24071
15106,10980,9076,34266
09015,10755,9401,31838
15104,10745,9221,29950
19006,10691,9412,30712
01001,10325,8626,31084
16053,10099,8315,33600
15013,9612,8435,25743
26030,9567,8540,30001
05035,9487,8264,27484
09016,9126,7990,23183
12001,8601,7210,22332
14098,8453,7149,27647
14097,8314,7002,28901
19046,8294,7412,20554
25006,8146,7169,26241
15121,8139,7005,22424
09017,8013,6867,22455
17007,7870,6823,19500
28022,7525,6208,22643
30193,7435,6239,22636
09002,7422,6471,19847
09006,7188,6346,20618
15031,7085,5904,24603
02001,6941,6290,18685
28027,6906,5986,16930
19021,6897,6096,19170
27004,6863,5408,22449
15109,6827,5768,21334
09013,6717,5790,18059
14101,6467,5358,23431
15081,6357,5423,18685
15039,6337,5354,19925
30087,6279,5305,17310
23008,6188,4893,14930
19031,5863,5060,20241
13048,5768,4885,15482
03008,5627,5031,13208
19019,5568,5256,10079
10005,5472,4583,16098
19048,5456,4871,14209
09011,5395,4657,15573
11007,5330,4446,16253
07101,5282,4208,14491
15037,5237,4648,11659
25012,4988,4479,11758
19018,4946,4356,16325
28038,4665,4022,12714
09004,4597,4056,10751
15122,4566,3783,14427
11017,4548,3867,14359
14067,4527,3861,11252
28041,4358,3649,14246
15020,4317,3684,12316
09008,4235,3718,10932
15054,4096,3477,10873
15025,4013,3368,13595
15060,3739,3093,10916
24035,3715,3158,11898
13051,3543,2987,9776
26018,3533,3149,10328
25001,3509,2984,9936
18017,3507,2999,9895
20067,3435,2717,9235
21119,3404,3063,6573
22006,3402,2965,8736
17011,3392,2871,9694
03003,3157,2785,8575
28009,3151,2724,8291
15070,3112,2559,10121
10007,3042,2515,10442
05018,3023,2667,8919
30039,2995,2447,8363
21156,2845,2258,8331
16102,2825,2312,7768
30028,2762,2401,6742
22016,2737,2304,8248
15099,2688,2256,8285
04002,2670,2097,8895
22011,2579,2074,8433
28003,2577,2030,9440
12029,2569,2095,8212
15024,2523,2120,7553
05025,2458,2109,7634
17006,2357,1961,7174
26043,2344,2058,7031
30044,2334,1877,7616
23004,2318,1692,7766
26055,2228,2018,5809
11027,2199,1878,6176
30131,2143,1812,5309
15029,2125,1767,6687
04003,2122,1664,6314
13077,2008,1590,6322
15108,2004,1725,5709
08017,1987,1778,5897
32010,1974,1562,8214
21140,1972,1700,4839
32017,1967,1631,5496
18020,1889,1572,5301
32056,1873,1592,5864
06007,1848,1551,4979
02003,1832,1658,4164
15120,1812,1477,5312
07089,1808,1369,6558
02005,1800,1682,3737
11003,1787,1497,4807
11015,1770,1503,4654
26048,1767,1639,5086
15051,1713,1367,6135
21041,1688,1406,4488
30118,1684,1441,4767
15110,1661,1498,3653
28033,1648,1350,5193
17008,1646,1430,4299
30189,1646,1317,5030
06002,1593,1336,4162
14070,1581,1325,5682
15118,1565,1262,4718
26029,1529,1358,4903
16108,1507,1222,4356
14093,1488,1158,5827
15002,1475,1204,4946
17029,1443,1215,3578
16052,1434,1119,4938
06010,1434,1205,3448
25011,1432,1179,5250
19041,1431,1157,6002
21132,1427,1182,4225
08021,1404,1248,4434
21019,1399,1139,4025
17018,1395,1131,4594
11037,1361,1081,5550
09009,1333,1087,3950
19009,1330,1166,3479
07078,1327,1031,4024
13069,1322,1070,4420
23001,1310,1012,3452
05027,1299,1046,4691
29033,1279,1040,4067
30108,1262,1007,4208
14053,1254,986,4303
12035,1177,997,3587
19025,1169,1008,4609
10012,1165,976,3881
12038,1157,942,2936
26042,1143,980,4078
15076,1142,927,3505
08032,1133,982,3974
24013,1133,884,3180
27002,1128,801,4655
19049,1119,1040,2130
01005,1091,922,3035
14063,1074,883,3355
14023,1073,860,3352
19033,1053,907,3091
13076,1052,864,3199
17028,1031,857,2549
31041,1018,779,3863
27013,1006,739,4085
26017,983,829,4128
15035,972,792,2940
24020,960,804,3031
21015,958,758,2926
20184,954,736,2976
20385,953,713,3062
23009,949,720,2369
29005,944,774,3215
16088,936,734,3191
30124,912,691,3285
30105,902,706,2676
19038,895,763,2550
11014,888,678,3189
23011,870,725,1809
19010,868,753,3451
30048,863,647,3028
15095,859,689,2378
30038,854,706,1947
19045,852,716,3006
11031,849,664,3267
22017,846,704,2180
27005,845,613,3472
30102,840,643,2467
11005,822,631,3224
27008,821,490,3772
16112,820,633,2445
15005,809,609,3037
05002,806,691,1829
30065,799,635,2117
30011,796,714,1641
05010,793,700,3040
24024,779,584,3237
23003,778,643,1447
26002,777,699,2245
21174,769,619,2199
05028,769,669,2298
16069,767,635,2230
31059,760,590,2347
13030,758,543,2541
16006,754,555,2603
21074,753,574,2356
07019,753,529,2792
28021,752,597,2078
14083,751,591,3320
11033,736,581,2333
15042,734,518,3352
15014,725,558,2465
11042,716,567,3541
15018,714,612,2271
29010,708,531,2572
30068,693,551,2040
21071,685,566,2186
12055,680,552,1812
13083,679,547,2027
14030,675,572,1622
30174,675,469,2404
14008,673,517,2197
13063,670,515,2226
16066,669,523,2397
05020,666,576,2097
14073,666,510,2341
17012,664,550,1396
19004,663,600,1348
27014,659,469,2347
06009,658,521,2222
17020,658,548,1538
17002,654,597,1103
11011,650,534,2049
17004,649,509,1778
31102,645,506,2310
15092,644,520,2171
05032,643,526,1712
18004,642,522,1769
25018,640,547,2381
27012,636,449,2709
11032,628,492,2275
20079,621,457,1576
05017,621,492,2497
14124,621,489,2460
08050,616,540,2701
29013,611,497,2077
15062,610,471,2170
16076,607,497,2104
16034,600,488,1729
14044,595,489,2575
19044,591,530,1241
14013,589,479,2234
14018,582,483,2532
13061,579,492,1661
15011,579,459,2144
19012,574,492,2245
30141,574,449,1818
05033,569,454,2492
11028,566,438,2117
21106,558,478,1126
32020,556,458,1889
16075,554,431,2496
21208,553,432,1563
13003,547,419,1880
15101,544,416,1845
11023,543,436,2135
15090,542,441,2063
20039,537,387,1623
13013,535,418,1847
20390,532,414,1443
14015,528,425,1817
30123,526,402,1561
15091,525,410,1827
11002,524,419,1875
15053,518,445,1805
11004,514,393,1713
15067,514,402,1892
07097,513,337,1944
31101,511,370,2082
30085,508,394,1676
29025,506,411,1486
15045,493,372,1779
30175,488,353,1539
15087,479,335,2024
16107,477,370,1592
20413,476,332,1746
22012,474,365,2064
27003,474,315,2234
14050,472,368,1596
15088,472,366,1969
27006,470,295,2182
16071,469,331,2050
13028,469,323,1646
11044,468,362,1659
01003,468,354,1953
11025,465,332,1942
14085,464,307,1774
25015,463,398,1684
28040,460,379,1409
18008,457,393,1289
20043,457,310,1496
15059,452,390,1413
21085,452,353,1264
08011,452,375,1518
01002,449,335,1863
11021,448,335,1488
11041,443,359,1502
16082,443,303,1979
07027,441,307,1634
14094,438,358,1410
11030,435,341,1663
30128,433,345,1237
16043,430,330,1258
20318,426,300,1435
16050,426,302,1590
17024,422,356,1021
04004,422,292,1667
30183,421,341,1146
30138,421,350,1148
13041,415,303,1437
21034,412,332,1131
15009,411,333,1353
21164,410,315,1684
15100,409,326,1620
21154,408,297,1510
13056,407,334,1210
26025,407,344,1346
03002,406,336,1352
03001,403,333,1360
01011,403,311,1711
15115,403,309,1797
30003,401,295,1194
13008,400,329,1257
14022,398,323,1088
29043,395,322,1258
14006,393,305,1252
14066,393,299,1782
23002,387,267,2268
11001,386,299,1879
07065,386,266,2112
13016,385,285,1350
21197,384,307,1317
21053,382,278,1370
28025,381,328,976
14091,380,293,1481
15040,379,278,1152
17030,376,293,1069
29044,374,289,1245
14082,374,288,1414
30109,372,255,1392
30040,371,293,1000
11009,368,299,1587
11035,362,274,1311
12066,362,257,1239
30030,361,292,1108
18015,361,272,1277
13052,355,268,1209
31096,355,234,1284
15048,350,261,1570
08045,345,279,1148
32039,345,269,1208
07108,343,210,1329
15073,341,273,1035
30160,340,218,1300
13084,339,225,1630
22005,332,248,1909
11046,332,234,1189
15019,332,271,974
30133,331,255,1438
20399,329,236,987
22004,328,226,1436
15074,326,231,1315
15085,325,229,1384
08036,325,280,1348
13023,323,231,1307
05022,317,252,1141
10032,317,234,1683
30045,315,230,1148
07061,314,217,1656
29006,313,260,833
14035,312,244,1154
25010,311,241,1216
24011,311,234,1013
27010,311,210,1481
32042,310,232,1504
17017,308,235,734
05024,307,268,767
22007,305,226,984
12075,305,241,1319
26019,305,269,920
21001,304,231,1039
30061,303,228,1105
04001,303,218,1289
15082,302,220,1509
08052,302,258,871
17031,300,247,734
01007,296,244,1124
29018,294,231,1173
05009,293,233,1132
20515,292,213,846
01006,291,228,1176
30014,290,203,968
13029,289,206,1201
07059,288,165,1844
22008,287,221,942
24021,286,219,1045
16045,285,229,716
30158,285,229,696
15023,284,228,927
32005,283,221,980
28035,283,236,939
27017,282,194,1287
21045,282,224,996
12028,277,201,1177
27016,277,187,1126
26033,275,222,1275
13010,275,229,772
24037,274,208,1251
30016,273,219,894
05003,272,227,832
20059,272,157,888
14086,272,228,765
05004,272,242,829
07017,270,179,1353
13050,270,208,811
07012,269,180,932
31089,269,206,989
14051,269,201,1165
04009,266,183,1183
30191,265,187,838
29041,264,198,757
14016,264,213,998
13054,264,178,1039
15103,262,232,803
11026,262,187,1159
30181,257,170,1196
14078,257,188,946
32024,257,202,910
26036,255,228,922
30071,255,197,694
15047,254,183,1028
30206,253,203,836
30204,252,202,613
30026,251,200,640
21004,251,189,707
14059,250,194,577
30115,248,206,779
23010,247,155,1400
30004,245,193,852
07034,245,156,1289
15065,245,187,866
14119,245,191,952
15084,244,196,773
10038,240,183,1029
15052,239,202,558
21003,239,171,844
30010,238,141,792
14121,238,182,1076
29036,237,184,864
06005,237,188,701
01009,235,174,1257
17003,235,181,825
12011,234,161,978
29015,233,170,704
14046,232,175,976
16012,231,167,811
20551,231,157,907
29031,230,176,862
30092,230,152,592
13067,229,158,1022
25009,229,191,780
14043,228,158,778
14108,227,171,975
12050,227,155,799
15075,225,179,760
11012,224,200,1387
12057,224,175,850
20014,221,144,635
16038,220,172,911
30155,220,153,750
16055,219,152,824
32036,218,168,907
20401,217,129,842
32055,216,150,699
31038,216,167,827
29028,216,153,711
08005,216,169,1009
13074,215,183,673
31079,215,147,755
17025,214,167,563
21186,213,156,766
25017,212,173,869
29038,212,163,929
11008,211,123,909
12048,211,151,711
15044,209,169,514
28007,208,173,708
08002,208,167,657
26041,208,179,639
32034,207,163,742
22001,206,138,641
30211,206,150,482
07040,205,137,760
15113,204,145,869
16079,202,144,1134
20482,202,126,592
30101,202,177,717
21010,201,129,940
30126,201,132,746
18012,201,167,853
20397,201,128,686
14047,200,169,607
21115,200,134,718
15043,199,158,711
15093,199,158,595
26004,198,170,839
28012,198,153,774
15096,197,151,756
15001,197,137,790
16106,197,136,703
30009,197,125,1014
14024,197,157,636
07057,196,126,1015
28015,196,160,535
10023,196,156,868
10008,195,161,1093
30077,195,155,581
13081,195,137,823
16110,194,146,791
19005,194,164,592
21090,193,157,487
11039,192,128,797
12021,192,149,598
21051,192,158,731
29023,190,137,785
14033,190,152,795
13082,190,143,708
23007,188,115,945
31013,187,146,422
15072,187,162,731
12046,186,127,511
30034,186,145,532
20044,186,139,668
20002,185,110,745
14118,185,141,961
20324,184,121,730
14037,184,135,593
21143,184,147,513
19013,183,164,351
12061,183,130,586
15036,181,131,653
28043,181,174,470
20565,181,130,628
12058,180,132,730
14077,179,127,560
07099,179,73,933
30047,179,122,575
20157,179,142,480
07051,179,114,830
14064,178,141,626
08062,178,144,618
16113,178,137,639
16009,178,129,810
20057,178,128,712
11043,177,116,894
16073,177,139,699
15086,177,117,750
24050,176,135,684
25013,176,142,837
30083,175,118,1380
15016,175,135,616
24008,174,142,431
14009,174,130,807
30032,174,128,569
15030,174,145,501
32038,174,137,1075
24032,173,136,606
21110,173,123,687
32048,173,135,527
07074,172,117,635
11029,171,100,802
07009,171,112,733
26026,171,151,546
20107,171,134,506
29024,170,125,677
30089,170,128,592
13012,169,138,1085
15112,169,118,536
31052,169,115,683
30143,168,110,599
29034,168,129,618
21207,167,120,725
30053,167,121,453
08004,167,130,1226
21180,167,117,1001
16020,167,125,672
16068,166,123,691
25014,165,128,582
27009,165,106,910
14002,165,130,906
27007,165,121,698
14105,164,135,944
08048,164,144,709
23006,163,121,791
15022,163,124,464
32026,163,99,1162
15114,163,112,995
30100,163,119,584
15068,162,123,437
05006,162,134,830
30207,162,123,713
17019,161,131,492
30081,161,136,521
15028,160,132,367
19017,160,136,533
03009,160,132,419
20350,160,128,440
13005,159,95,428
32019,159,110,473
05031,158,130,605
14114,158,119,497
21177,158,108,761
07020,158,70,849
14025,158,129,532
29019,158,133,613
12034,157,113,581
14055,156,114,618
18006,156,133,512
14116,156,121,762
17009,156,123,389
31056,153,126,653
14001,153,121,514
11019,152,91,700
21189,152,91,678
05038,152,130,516
14048,151,122,460
30021,151,103,667
20227,151,118,435
24016,151,112,517
21094,151,115,519
16035,150,93,699
25002,150,119,698
15046,150,115,441
22003,149,81,687
12007,148,109,458
15027,148,116,519
14096,148,112,584
27001,147,100,735
32051,147,114,680
16078,146,91,370
15124,146,96,1009
21199,146,108,524
30069,145,113,567
14109,145,126,480
17026,145,119,292
21161,144,91,539
16015,144,82,631
14021,144,116,583
13075,143,124,625
29002,143,120,508
25004,143,111,698
13059,143,100,544
24036,143,103,508
30013,142,105,425
13015,142,92,704
19047,141,132,420
30125,141,93,505
30058,140,80,686
04005,140,93,654
20293,140,116,385
14087,139,111,535
13022,139,99,456
15050,139,102,494
13024,139,103,418
07068,139,83,619
24040,139,101,422
13057,138,93,543
21118,138,111,460
21149,138,103,481
07052,138,77,1144
21108,137,106,416
14100,137,92,535
30192,136,91,380
25008,136,109,521
29039,136,99,601
16085,135,97,456
20334,135,83,531
15125,135,114,363
31040,135,94,585
06003,134,105,461
14058,133,106,373
30070,133,77,607
06001,133,96,452
14036,133,111,411
22009,133,98,483
21142,133,98,639
14045,132,104,464
16025,131,89,403
32022,131,108,372
14111,131,98,473
16064,131,84,568
16083,130,86,615
13002,130,80,421
13001,130,96,565
20073,130,76,630
30015,129,83,881
18018,129,90,445
11013,129,98,724
16019,129,100,509
16089,128,100,506
15003,128,89,401
19022,128,108,382
32023,127,101,383
06004,127,96,404
30112,126,95,485
32029,126,103,542
21136,126,95,429
14074,126,104,344
30134,126,88,601
08055,125,99,484
14049,125,65,614
30208,125,98,359
16051,125,97,332
16097,125,71,871
07079,125,74,579
11018,125,89,478
16103,125,108,379
21169,124,90,453
13021,124,98,505
30023,124,78,593
29042,123,103,303
14003,123,95,379
16077,123,77,370
21172,123,84,434
13039,123,92,329
15064,123,93,485
29026,122,101,531
15063,122,89,375
21013,121,102,468
07107,121,77,445
15055,121,100,386
21043,121,87,535
21047,120,81,653
21194,120,81,492
21048,120,91,556
15010,119,102,333
21125,119,103,236
13037,119,88,838
10004,119,82,597
30094,118,84,405
21054,118,87,454
08013,118,106,528
13060,118,60,663
15083,118,97,346
30173,117,61,446
14029,117,103,451
14125,117,79,490
21069,117,83,404
29021,116,97,340
30006,116,84,517
15079,116,87,347
18016,116,93,338
30049,115,85,491
15015,115,93,366
15021,115,84,377
16090,115,80,501
31093,115,80,433
21104,114,89,446
07069,114,86,662
13072,114,99,279
18001,114,96,359
10039,113,76,801
30097,113,94,293
10022,113,83,640
16010,112,77,931
27015,112,78,785
13070,112,89,359
07086,112,76,402
15004,112,68,485
07013,111,58,553
28037,110,91,418
14084,110,72,360
11016,109,83,375
17010,109,87,274
30066,109,71,480
26058,108,96,327
10001,108,77,598
16062,108,80,377
05019,108,97,302
24007,107,81,353
24049,107,89,508
04006,107,70,593
05007,107,90,340
16016,107,79,450
08001,107,87,475
21205,106,59,388
14079,106,66,409
08031,106,83,532
30201,106,61,658
18002,105,76,426
24025,105,84,363
24055,105,73,514
28002,104,75,442
13035,104,74,478
24054,104,78,373
21209,104,68,461
08010,104,83,523
29029,103,81,312
16093,103,82,348
17015,103,79,275
21035,103,71,451
20278,102,46,494
14005,102,74,361
32053,102,72,614
30164,102,79,313
24005,102,73,259
14110,102,76,465
24058,102,73,396
19014,101,91,328
20068,101,70,364
15007,101,66,413
32032,101,63,372
15006,101,84,380
15107,100,81,359
07102,100,66,442
26070,100,89,439
19011,100,85,221
08059,100,78,549
29032,99,84,423
16098,99,72,433
32049,99,76,351
30075,98,79,455
21214,98,74,354
21117,98,82,328
20439,98,66,409
21134,98,80,321
20041,97,57,571
21124,96,66,292
07030,96,44,586
20023,96,73,475
30144,96,57,741
18010,96,74,369
12059,96,72,360
30148,96,67,396
30086,96,62,389
28030,95,53,325
16065,95,75,458
16014,95,72,335
30093,95,74,295
20375,94,71,230
16084,94,66,247
32052,94,72,540
08060,94,73,388
30182,94,74,283
13058,93,66,256
30205,93,57,362
20115,93,73,250
07106,93,63,527
16087,93,57,385
30196,93,70,322
20210,93,42,340
22013,93,62,508
12012,93,57,355
21191,92,73,419
29048,92,72,443
20553,92,77,220
15012,92,66,506
16086,91,70,308
15089,91,75,250
16105,91,69,283
32035,91,74,445
16033,91,57,361
13055,91,68,403
17013,90,73,230
14020,90,60,314
24043,90,73,541
30130,90,55,426
30117,90,59,377
26035,89,67,253
19042,89,74,156
30135,89,73,261
32016,89,72,388
10034,89,57,494
14095,89,77,284
13018,89,51,393
07023,89,44,487
08029,89,71,526
21153,88,62,355
15056,88,62,518
08009,88,73,374
32014,88,72,301
30178,88,72,224
21091,88,75,283
13066,88,75,271
18011,88,65,378
17035,88,69,244
31002,87,66,268
30025,87,54,400
20006,87,59,268
20102,87,48,282
29001,87,68,319
15094,87,72,287
16111,86,61,383
16008,86,68,383
20469,85,49,283
28019,85,55,268
16070,85,59,230
17014,85,62,194
22015,85,62,364
07015,85,55,547
30210,84,55,421
31019,84,54,314
14065,83,57,284
16058,83,55,267
22018,83,61,314
16017,83,54,355
20360,83,41,395
12067,83,50,299
04011,83,52,432
12014,82,62,241
30132,82,57,263
12022,82,61,444
20550,82,47,273
20005,82,50,234
29058,82,65,238
14123,82,62,428
13006,82,50,261
17022,81,42,261
07049,81,33,374
12053,81,57,400
29014,81,65,299
01004,80,64,423
31067,80,58,363
16022,80,61,414
26071,79,57,275
24010,79,60,464
14113,79,59,411
07032,79,52,370
10013,79,60,335
21076,78,50,557
24003,78,57,353
21179,78,54,367
15102,78,52,265
21175,78,53,238
31003,78,48,388
16042,78,54,269
08040,78,52,375
31027,78,52,280
30022,77,53,295
30091,77,49,318
21195,77,40,452
13019,77,48,311
29027,77,63,256
13007,77,46,325
14112,77,60,180
16023,77,60,238
29008,77,64,362
07109,77,54,239
13009,77,61,249
29049,76,38,588
12003,76,48,397
21063,76,53,316
15123,76,50,326
20298,76,33,236
16091,76,57,257
16095,75,58,295
13040,75,46,447
08054,75,68,175
20083,75,48,211
30074,75,60,208
18014,75,58,298
16003,74,54,250
12068,74,48,362
13046,74,51,553
29020,74,44,190
14088,74,55,353
12033,74,54,309
07005,74,52,422
20028,73,51,335
29007,73,56,323
32040,73,56,598
26012,73,57,217
20545,73,50,213
28016,73,50,199
21026,73,49,266
20030,73,56,151
20409,73,53,277
31048,73,48,371
15049,73,57,239
07083,72,35,414
20570,72,46,299
16057,72,53,444
07067,72,29,222
11040,72,52,738
19029,72,54,238
10036,72,50,317
14017,72,60,304
16063,71,43,383
19020,71,58,180
16047,71,47,283
24015,71,62,218
30157,71,50,294
17016,71,52,191
16030,71,56,212
10037,70,50,534
01010,70,42,407
30099,70,62,161
24053,70,49,305
11045,70,38,332
29050,69,53,258
16040,69,50,324
20295,69,44,284
31066,69,40,482
25003,69,48,433
21065,69,38,210
32007,68,48,432
21008,68,39,300
24006,68,46,193
21211,68,51,294
30151,68,39,220
30073,68,43,239
30082,68,49,193
30161,68,50,205
15038,68,52,138
32054,68,46,367
20190,68,36,296
16104,67,52,215
21170,67,48,362
13038,67,46,315
07080,67,42,415
30114,66,40,284
21126,66,45,182
12006,66,48,157
17001,66,51,151
20526,65,33,285
12032,65,30,476
15105,65,44,281
14099,65,48,279
06008,65,47,228
12002,65,34,252
22010,64,51,335
20150,64,44,351
25016,64,47,266
07094,64,45,372
20418,64,39,224
21058,64,33,235
05036,64,50,449
30111,64,49,224
13014,64,40,358
21129,63,47,259
16036,63,52,263
30142,63,40,320
30090,63,45,191
07046,62,36,400
30072,62,48,264
30120,62,40,255
21044,62,44,253
05023,62,40,383
30188,62,29,431
32018,62,27,463
18003,62,54,173
30145,62,44,188
16056,61,36,301
31058,61,40,200
30095,61,38,350
30080,61,35,241
12023,61,29,455
15061,61,46,173
07014,60,34,369
27011,60,33,348
16032,60,45,256
15017,60,45,221
32047,60,42,279
12039,60,42,258
12017,59,39,214
21017,59,47,227
20338,59,46,210
20103,59,40,213
20559,59,47,276
26047,59,50,326
21144,59,40,337
12027,59,35,266
14041,59,47,179
07037,59,40,299
26003,59,50,185
20010,59,51,214
12030,58,39,188
07041,58,39,499
20557,58,42,169
15117,58,43,245
14014,58,40,259
21067,58,44,218
16002,58,37,370
15008,58,41,445
24001,58,34,237
29017,58,48,148
21163,57,45,222
17033,57,40,165
16004,57,44,246
07077,57,40,350
21040,57,33,231
19008,57,50,117
16041,57,38,212
32057,57,41,216
24027,57,40,147
15098,57,40,219
07100,57,32,436
21064,57,29,248
07006,57,33,281
16029,57,31,401
17034,56,40,139
30169,56,32,187
07048,56,36,253
13031,56,38,260
16072,56,36,205
28039,56,43,297
30200,56,35,258
20364,55,33,265
32050,55,46,151
30052,55,39,254
21038,55,46,210
11038,55,40,238
29054,55,43,234
21072,55,33,199
07124,55,38,241
08027,55,48,538
32044,55,41,338
08003,55,42,306
24022,55,45,226
30116,55,43,145
16018,55,45,205
17021,55,43,103
16080,54,33,213
07062,54,33,302
25007,54,41,261
13073,54,39,320
28013,54,31,227
20091,54,44,119
07031,54,26,457
16011,54,44,224
30031,53,27,249
20393,53,19,210
26066,53,42,164
31091,53,37,305
20403,53,34,193
31001,53,27,253
30062,53,32,197
20135,52,27,269
21176,52,39,153
07008,52,33,286
21166,52,36,141
24057,51,36,202
21099,51,36,309
18019,51,35,239
30129,51,39,128
29059,51,45,200
30051,51,40,200
10026,51,36,341
28017,51,34,170
20136,51,23,197
31080,51,34,154
05037,51,45,137
16024,51,40,195
32045,50,37,150
20025,50,36,137
28029,50,35,328
29056,50,38,142
