cve_mun_full,num_dispositivos_home_00_08,num_dispositivos_home_00_05,num_dispositivos_home_primero
15088,256,205,572
21208,255,205,505
30123,253,208,465
15101,252,207,468
03002,251,229,458
30128,246,196,498
30174,245,211,524
13052,243,203,405
25015,243,216,676
14013,241,215,506
11021,236,208,524
30040,235,201,390
15067,234,178,493
31102,232,199,468
08011,229,203,415
21197,229,190,491
29043,228,200,405
30175,228,189,462
21154,228,187,442
16043,226,195,462
17031,225,197,514
21164,225,187,464
13008,224,188,463
05022,224,177,659
20043,223,178,447
15045,221,180,505
26019,219,199,532
11041,216,186,483
30138,215,193,323
13041,212,166,522
13056,212,183,316
30183,211,173,364
15073,210,180,335
30003,210,175,396
15115,209,170,421
15023,209,147,390
29025,209,179,401
07027,208,178,417
20318,208,177,395
11035,207,169,483
19012,206,174,405
01003,205,163,393
11030,202,176,415
14022,202,171,333
22012,201,171,477
05033,200,175,423
11004,200,171,385
03001,199,184,402
16045,199,170,371
30030,198,175,307
20413,197,155,427
17024,196,173,358
15103,196,154,375
08052,194,169,369
07097,194,155,460
15082,193,154,377
32039,192,164,342
27006,192,154,514
15087,191,149,357
14044,190,173,381
17030,190,165,347
29044,189,168,353
28035,189,166,314
29006,187,166,369
16082,187,151,434
01011,187,157,374
32042,186,164,368
30046,185,114,740
15009,183,157,353
30026,183,155,264
18015,181,154,401
30061,181,146,343
15100,181,157,377
24011,181,140,356
08036,179,166,297
17017,179,150,412
31101,177,147,375
15019,176,147,330
13010,174,143,309
26025,174,161,351
13016,173,148,322
16050,173,144,378
12066,172,142,343
07065,168,135,448
11009,168,147,402
11046,167,143,345
21053,166,130,344
14035,164,132,333
16071,164,136,365
14085,164,137,316
22008,163,131,266
14006,163,142,367
30109,163,148,354
13029,162,133,317
15074,162,128,341
20515,162,132,303
30160,161,130,402
11025,159,125,379
30204,159,131,297
24037,159,131,344
08045,159,138,293
14050,159,133,289
15048,157,111,355
26036,156,144,444
11044,156,130,332
30045,154,133,334
30016,151,128,282
01007,150,117,290
15084,149,118,273
20399,148,135,239
13050,148,130,231
15044,147,126,275
14066,146,130,416
27003,146,124,364
30133,146,121,267
15085,144,117,276
04004,142,112,355
30206,142,115,232
14091,141,118,267
23006,141,81,532
31096,139,116,296
14051,139,109,407
05004,139,117,245
25009,138,115,344
07061,138,104,282
31013,138,134,202
32005,137,114,270
14016,136,116,300
11001,135,117,346
13023,135,113,263
07108,135,107,522
07012,134,118,286
12057,133,111,257
15040,133,117,259
31089,133,112,219
23002,132,108,300
28007,132,116,256
24050,131,100,268
19013,131,122,213
15030,131,119,234
12050,130,112,261
16038,130,111,235
24021,129,106,225
12048,128,108,237
13084,128,98,242
21045,127,103,291
28015,127,111,184
25002,127,110,390
07017,127,100,277
30115,126,105,214
29036,125,117,227
27010,125,104,260
14078,125,106,309
30071,124,104,223
22005,124,104,265
32024,123,98,252
27016,123,93,265
17003,123,106,220
13054,123,91,249
21001,122,101,223
22007,122,105,252
29031,122,100,256
30155,121,99,261
30014,121,102,225
04009,121,105,286
15065,121,106,237
26033,120,109,276
05003,120,109,211
01006,119,92,238
15093,119,110,218
15075,119,98,210
25010,119,97,263
12075,118,90,256
05009,117,106,254
05024,117,105,219
10032,117,95,324
11026,116,96,267
14024,116,101,221
10008,116,102,340
30211,115,101,179
32019,115,82,196
32034,113,92,238
14046,112,97,216
29041,112,101,218
17009,111,98,209
08005,111,98,235
13082,110,82,217
21004,110,91,216
14121,110,94,209
15113,110,94,225
15096,110,84,204
14114,110,83,334
22004,110,87,238
12046,110,91,240
12028,109,89,257
32048,108,85,201
30034,107,93,248
08048,107,99,196
14082,107,92,216
29028,107,93,182
14037,107,92,215
30013,106,80,222
03009,106,98,231
19005,106,98,214
20059,106,91,191
21090,105,96,174
30077,105,88,185
21094,104,87,202
15125,104,88,202
14119,104,87,221
20482,104,85,220
30101,104,85,185
29015,104,88,207
14116,103,93,190
07059,102,70,324
32055,102,82,177
18006,101,93,196
27017,101,84,241
20107,100,90,152
20350,100,91,155
17025,100,90,192
13075,99,85,159
16110,98,88,228
15001,98,74,217
15047,98,82,219
06005,98,89,182
21207,98,81,196
15028,97,83,198
15055,97,75,199
14033,97,86,156
20324,97,74,220
32036,96,86,168
13081,96,77,211
21186,96,73,209
30053,95,76,157
20157,95,85,160
07074,94,79,189
13074,94,77,199
15112,94,69,189
30010,94,74,217
13012,94,83,138
24040,93,78,179
19017,93,86,181
11039,93,81,211
30191,92,77,178
07040,92,80,195
32051,92,54,274
12061,91,73,204
20014,91,79,201
21003,91,70,172
14047,91,90,168
12007,90,76,169
21051,90,76,158
26058,90,80,257
16012,90,75,163
23010,89,61,210
16019,89,73,161
12058,89,71,200
14009,89,77,168
20057,88,69,171
16009,88,68,196
08062,88,77,233
14077,88,74,172
