cve_mun_full,num_dispositivos_home_00_08,num_dispositivos_home_00_05,num_dispositivos_home_primero
02004,41008,36173,83765
09007,33277,26737,78372
21114,29550,23548,72712
19039,28592,25087,57840
15033,25362,20440,61671
14039,24548,20130,68614
08037,23970,19540,57959
14120,23806,19980,53666
09005,22429,18232,52991
11020,20814,16514,60418
02002,20605,18565,37054
15058,19282,15452,47651
22014,19102,15045,45942
09010,17873,14845,36929
15057,17284,14029,37685
23005,16132,12847,34867
28032,15427,12867,33639
09012,14955,12495,31022
09003,14877,12418,30459
31050,14759,11836,38079
24028,14111,11467,33385
08019,13962,11924,33201
19026,13598,11588,30178
05030,13381,10901,31887
15106,13231,10190,32755
09015,13108,10541,34834
09014,13015,11014,26212
19006,12639,10719,30133
15104,12560,10104,29166
01001,11854,9509,29325
09016,11545,9315,26176
15013,11139,9193,24200
16053,11115,9012,28760
26030,10979,9686,29351
05035,10418,8496,24816
14098,10026,8205,26768
14097,9857,7964,28329
25006,9783,8373,25409
19046,9633,8273,20788
09017,9518,7545,22820
15121,9237,7419,21425
09002,8919,7107,20045
30193,8474,6879,22196
27004,8448,6191,22239
09006,8433,6856,19346
28022,8413,6764,21834
19021,8197,6985,18771
12001,8167,6458,19346
17007,8079,6560,17818
15031,8004,6351,21679
15109,7911,6252,19669
14101,7698,6279,22411
28027,7622,6478,17316
09013,7604,6338,16635
02001,7520,6408,17263
30087,7323,5926,16720
15081,7111,5684,17005
13048,6854,5506,15149
23008,6756,5245,14495
15039,6749,5470,17414
19031,6698,5679,17865
19019,6320,5679,10946
15037,6295,5446,11614
19048,6286,5357,13853
10005,6192,5017,15261
11007,6170,4991,16131
07101,6157,4859,14173
09011,6111,5039,14303
03008,6060,5347,12250
09004,5806,4883,11540
19018,5758,4901,15007
28038,5305,4460,12650
28041,5067,4041,13472
25012,5065,4402,11010
09008,5049,4154,10586
11017,5036,4020,14216
14067,4883,4115,10672
15020,4877,3962,11076
15122,4857,3923,12677
15054,4748,3891,10456
15025,4597,3656,11643
24035,4330,3448,10783
15060,4243,3439,9254
26018,4033,3544,10238
18017,3981,3389,9429
13051,3875,3175,9157
21119,3866,3333,6751
22006,3802,3095,8260
20067,3706,2846,8881
17011,3701,2929,8835
25001,3638,3064,9145
28009,3606,3052,8115
30039,3452,2757,7987
15070,3447,2728,9261
03003,3427,2914,7863
10007,3377,2601,9228
05018,3360,2704,8455
16102,3252,2626,7547
04002,3243,2436,9317
22011,3166,2349,8286
21156,3130,2404,7597
28003,3096,2412,8913
12029,3037,2383,7719
22016,3036,2335,7710
15099,2963,2331,7280
05025,2912,2305,7441
30028,2858,2424,6456
15024,2843,2271,7190
23004,2800,1857,7687
30044,2671,2031,7135
17006,2586,2022,6502
26043,2541,2222,6568
15029,2500,2011,6130
32010,2479,1757,7979
04003,2467,1913,6283
30131,2452,2042,5155
11027,2441,2014,5874
26055,2368,2131,5831
15108,2256,1831,5258
32017,2252,1779,5148
07089,2250,1636,6596
13077,2232,1709,5756
21140,2157,1789,4588
32056,2127,1624,5480
15051,2115,1550,5348
08017,2098,1772,5343
06007,2015,1655,4837
21041,2005,1544,4590
11015,1972,1560,4685
18020,1943,1576,4910
19041,1898,1512,5467
28033,1895,1560,5003
02003,1892,1644,3913
15120,1886,1518,4775
30118,1871,1521,4731
26048,1849,1716,4500
02005,1817,1617,3519
06002,1809,1488,4206
14070,1807,1491,5432
05027,1800,1401,5024
15118,1781,1363,4326
11037,1767,1263,5893
30189,1753,1344,4460
14093,1696,1322,5637
15002,1659,1284,4294
16052,1652,1267,4841
06010,1649,1363,3791
16108,1644,1306,4157
26029,1639,1431,4546
11003,1610,1257,4388
25011,1579,1283,4809
21019,1547,1174,3723
09009,1525,1205,3624
17008,1514,1198,3640
19025,1513,1280,4540
17018,1499,1146,4028
21132,1494,1165,3628
