origen,destino,peso
039,120,5386
120,039,5339
039,098,4241
007,011,4191
104,005,4171
005,104,4160
098,039,4159
011,007,4143
006,007,3906
007,006,3863
028,035,3355
039,101,3352
101,039,3342
035,028,3295
014,006,3201
006,014,3177
015,017,2679
017,015,2655
017,006,2588
003,012,2564
012,003,2555
006,017,2548
005,002,2500
002,005,2490
014,011,2436
039,097,2434
097,039,2428
011,014,2417
014,010,2399
010,014,2394
006,005,2389
005,006,2361
016,015,2286
005,033,2255
015,016,2238
033,005,2218
017,005,2188
014,015,2161
005,017,2147
015,014,2124
005,058,2092
035,007,2075
058,005,2072
007,035,2068
039,046,1983
119,114,1970
046,039,1961
114,119,1937
007,058,1898
015,005,1888
058,007,1866
120,098,1865
098,097,1845
026,039,1834
039,026,1834
097,098,1833
028,105,1792
098,120,1785
005,015,1764
105,028,1764
050,013,1763
003,007,1761
013,050,1760
006,046,1739
010,008,1734
010,016,1722
007,003,1721
008,010,1710
057,016,1705
016,057,1702
014,003,1695
046,006,1688
021,039,1672
016,010,1665
006,021,1652
106,054,1651
038,009,1649
009,038,1643
026,031,1638
104,013,1637
039,021,1633
013,104,1624
012,013,1624
003,014,1622
081,033,1621
033,081,1618
021,006,1605
013,012,1594
031,026,1583
012,007,1578
054,106,1575
007,012,1573
004,001,1506
098,101,1504
014,007,1503
007,014,1486
001,004,1449
046,021,1448
006,026,1430
058,033,1423
101,098,1418
048,051,1417
051,048,1414
021,046,1413
026,006,1413
033,058,1403
004,005,1401
122,039,1379
005,004,1375
039,122,1316
004,002,1311
005,001,1310
007,005,1309
001,005,1298
028,193,1279
002,004,1278
193,028,1273
004,010,1271
010,004,1266
058,031,1265
005,007,1251
007,017,1248
020,039,1246
002,010,1242
031,058,1238
121,013,1237
039,020,1229
017,007,1224
010,002,1215
013,121,1213
014,005,1210
002,016,1180
005,014,1171
018,010,1168
010,018,1167
104,002,1166
050,041,1161
039,048,1159
002,033,1158
033,002,1153
002,104,1143
041,050,1136
048,039,1120
013,007,1119
037,020,1115
016,002,1110
039,025,1106
046,026,1106
104,033,1105
015,002,1099
008,012,1097
019,039,1095
020,037,1093
033,104,1092
006,039,1091
025,039,1090
004,003,1088
002,015,1084
010,005,1082
003,004,1082
121,109,1080
007,013,1076
039,006,1076
039,019,1071
012,008,1071
109,121,1069
005,010,1061
039,018,1052
026,046,1051
057,104,1041
109,020,1039
004,013,1032
020,109,1012
104,057,1004
005,013,989
013,004,982
013,005,979
015,006,974
018,039,971
007,015,970
015,007,966
016,014,965
006,015,953
114,041,952
041,114,943
003,010,934
010,003,910
007,070,898
003,038,893
018,006,891
041,006,890
033,032,889
038,003,888
012,010,888
006,058,885
006,041,885
010,012,878
088,053,875
006,018,874
104,121,869
121,104,862
058,006,859
012,011,856
032,033,850
070,007,844
014,016,842
001,011,841
020,033,841
056,017,840
011,012,840
033,020,839
005,008,830
053,088,828
121,024,823
017,056,820
048,083,820
120,097,817
017,004,808
011,013,807
097,101,807
039,031,803
031,039,802
083,048,800
097,120,800
008,005,798
024,121,796
101,097,794
011,001,786
018,106,784
029,031,778
120,020,776
017,058,774
007,039,773
004,017,772
039,007,766
114,015,764
020,007,760
020,120,758
031,029,756
011,006,755
051,106,755
037,004,753
015,114,752
106,018,751
007,020,750
122,025,749
058,017,748
013,011,745
025,122,745
011,005,742
004,037,740
006,011,734
005,011,729
032,030,725
002,057,723
106,118,721
030,032,721
012,016,720
003,013,714
057,002,712
004,019,710
019,004,705
118,106,704
106,051,694
006,004,694
007,009,688
016,012,688
013,003,680
033,010,678
