origen,destino,peso
028,105,4474
105,028,4454
120,039,2774
039,120,2763
039,098,2751
098,039,2734
007,011,2422
011,007,2400
028,035,2385
035,028,2356
104,005,2232
005,104,2206
006,007,2201
007,006,2177
012,003,1985
004,003,1958
039,101,1909
003,012,1903
101,039,1891
003,004,1845
014,006,1803
006,014,1783
017,006,1641
006,017,1637
013,050,1576
050,013,1543
058,005,1489
005,058,1470
005,006,1450
039,097,1428
006,005,1427
097,039,1376
017,015,1343
017,005,1323
015,017,1312
005,017,1300
015,016,1260
007,058,1241
014,015,1241
016,015,1236
058,007,1231
033,005,1231
015,014,1229
005,033,1204
010,008,1150
081,033,1146
011,014,1145
010,014,1142
033,081,1137
031,026,1136
014,011,1133
098,097,1119
008,010,1112
014,010,1096
003,007,1094
097,098,1088
007,003,1086
106,054,1070
026,031,1066
054,106,1060
012,013,1055
002,005,1041
013,012,1033
039,046,1024
046,006,1016
006,046,1014
005,002,1013
004,005,1006
005,004,996
046,039,993
013,104,987
015,005,983
101,098,979
104,013,979
026,006,968
098,101,967
120,098,966
038,009,962
005,015,954
009,038,943
058,033,940
098,120,933
001,004,932
006,026,931
026,039,916
033,058,916
119,114,907
039,025,907
004,001,901
114,119,887
039,026,885
010,016,883
035,007,882
016,010,875
025,039,867
016,057,867
051,048,849
007,035,844
002,010,832
057,016,826
048,051,824
010,002,824
109,020,822
020,109,811
122,039,799
039,122,794
014,003,793
010,018,787
033,104,763
058,031,759
031,058,750
014,007,747
104,033,739
003,014,725
007,012,725
007,014,722
010,004,706
020,039,699
013,007,698
039,021,688
012,007,684
004,010,683
050,041,683
193,028,681
015,002,678
021,039,671
007,013,668
018,010,668
028,193,667
002,004,667
015,006,664
039,020,659
004,002,658
041,050,657
002,015,655
001,005,653
048,083,647
033,002,646
006,015,646
007,005,640
083,048,637
006,039,636
005,001,634
046,026,631
005,007,629
046,021,626
013,004,626
017,007,623
039,006,617
002,033,616
003,010,608
007,017,605
026,046,596
021,046,595
121,109,581
121,013,579
007,020,578
032,030,575
002,104,571
037,020,568
004,013,567
030,032,566
104,057,565
010,003,565
013,121,565
012,008,564
018,006,564
008,012,564
018,039,562
006,021,561
057,104,560
109,121,557
104,002,554
101,097,553
020,037,550
039,018,550
021,006,550
006,041,550
097,101,547
016,014,546
006,018,545
007,070,544
014,005,544
070,007,543
020,007,541
041,006,533
039,031,530
031,039,520
002,008,520
015,114,514
006,058,514
013,005,513
005,014,513
014,016,513
039,019,512
058,006,511
002,016,509
005,010,506
024,121,505
097,120,501
063,030,499
038,003,493
029,031,489
019,039,485
121,024,485
114,015,485
114,041,485
003,038,485
031,029,482
010,005,480
011,001,478
053,088,478
041,114,476
002,057,471
010,012,470
057,002,467
039,048,467
012,010,464
122,025,463
048,039,463
056,017,463
016,002,460
120,097,459
007,015,458
011,013,456
004,037,455
088,053,452
017,056,451
057,013,450
033,020,450
037,004,449
025,122,447
007,009,444
106,118,444
015,007,444
013,057,444
009,007,443
013,011,442
013,003,440
030,041,439
005,013,438
001,011,436
118,106,435
003,005,434
069,097,433
010,033,433
020,120,432
020,033,431
004,006,430
005,003,430
006,004,421
033,010,420
039,007,418
003,013,418
041,030,417
037,057,416
120,020,416
017,058,414
003,002,414
002,003,412
005,008,402
057,037,402
032,033,401
011,006,400
001,003,399
030,063,399
031,070,399
058,017,398
033,007,397
006,011,394
070,031,392
009,003,392
008,002,392
008,005,392
007,039,383
033,032,380
018,013,380
121,104,379
104,121,378
051,106,376
033,109,375
006,030,372
003,001,372
037,032,365
013,060,364
060,013,364
109,033,364
007,033,364
030,006,364
031,025,360
025,031,360
021,028,358
028,039,358
004,012,355
120,101,352
070,098,351
042,033,350
028,021,349
003,009,349
098,070,347
106,051,345
050,101,345
097,069,345
012,004,342
058,070,341
087,065,340
003,030,335
070,058,335
011,005,335
032,037,334
070,039,334
108,048,334
048,108,334
018,106,331
017,008,330
005,011,329
156,114,329
007,104,328
010,013,327
017,033,327
101,120,325
030,003,324
044,068,323
101,050,321
039,070,321
039,028,321
013,010,320
010,007,320
006,025,316
007,010,316
065,087,316
031,020,315
021,010,315
015,010,314
025,006,313
002,001,313
068,044,312
010,015,312
011,028,311
030,027,311
048,018,310
104,007,309
031,006,308
033,042,308
114,156,308
008,007,305
027,030,305
043,005,305
006,031,303
018,008,302
017,020,301
039,036,300
033,114,299
008,017,299
005,043,298
021,031,297
002,007,297
011,012,296
106,018,295
035,017,295
028,011,295
017,035,295
007,002,294
031,033,294
018,048,293
010,021,292
007,001,289
033,017,289
012,011,289
007,008,289
031,021,286
020,031,286
033,031,285
058,081,283
008,018,281
020,017,281
032,028,279
109,108,279
114,033,278
006,003,278
017,014,278
067,390,276
013,033,276
020,098,275
114,140,273
033,013,272
108,109,271
001,007,270
005,114,270
114,058,269
036,039,269
007,018,268
031,010,267
012,016,267
031,003,266
010,031,265
007,031,265
058,114,263
008,004,263
016,012,263
001,002,263
018,007,263
002,011,262
031,007,262
004,019,262
114,005,262
008,003,261
004,008,260
005,012,260
029,011,259
011,002,259
098,020,259
014,017,258
012,005,258
058,013,258
010,006,258
390,067,258
019,004,257
030,004,256
005,106,256
108,020,256
006,010,254
010,017,254
003,031,254
081,058,252
033,026,252
042,018,252
011,018,251
031,005,251
033,015,250
020,108,250
025,029,250
026,033,250
019,048,249
018,042,249
007,004,249
006,002,248
012,035,247
013,058,246
140,114,246
016,004,245
013,002,245
106,076,244
002,013,243
048,019,243
011,029,242
002,100,242
053,039,242
003,006,241
014,004,240
002,006,239
004,016,239
022,025,239
013,018,238
028,032,238
035,012,237
050,005,237
058,003,236
005,031,235
025,022,234
104,109,234
003,008,234
076,106,234
004,030,234
077,016,234
033,099,234
005,037,233
029,025,233
021,041,231
015,033,231
051,076,230
106,005,229
012,017,228
016,005,227
109,104,227
007,122,227
076,051,227
067,020,227
025,012,226
005,016,226
014,012,226
017,010,226
003,058,225
039,053,225
140,119,225
106,115,225
004,007,224
099,033,223
013,014,223
037,005,223
012,014,223
015,039,223
039,015,222
011,008,222
004,014,221
029,007,221
041,021,221
005,050,220
012,025,220
029,035,220
016,017,220
016,077,220
011,009,219
119,140,218
047,030,217
008,011,217
121,005,216
193,105,216
100,002,216
024,011,215
108,024,214
061,017,214
007,029,214
014,013,212
122,007,212
042,040,212
002,039,212
105,193,210
115,106,210
070,097,209
057,007,209
004,050,208
018,011,208
024,108,207
010,001,207
001,010,206
011,024,206
021,026,205
020,067,205
087,028,204
033,035,204
041,034,204
026,021,203
097,070,203
033,011,201
005,121,201
109,024,201
020,008,201
003,041,201
017,016,200
058,010,200
009,013,200
011,030,200
020,101,199
007,057,199
121,095,198
058,014,198
028,087,198
114,007,198
007,114,197
017,011,196
101,012,196
034,041,195
001,026,194
016,013,194
095,121,194
013,016,194
007,025,193
058,012,192
024,109,192
039,002,192
013,009,192
017,012,192
008,020,191
114,193,191
012,101,191
028,046,191
114,025,191
030,011,191
020,018,190
009,017,190
026,001,190
025,103,190
041,003,189
030,015,189
035,039,189
017,039,189
011,017,188
009,011,187
012,057,187
099,029,187
385,067,186
050,004,186
004,017,186
039,017,186
122,011,186
077,056,185
076,054,185
057,012,185
118,044,185
029,099,185
015,030,184
018,021,184
053,020,184
020,053,184
030,066,183
033,036,183
004,039,183
041,031,183
058,015,182
020,005,182
007,016,182
027,101,181
101,020,181
011,033,181
015,058,181
025,114,180
010,058,180
036,033,180
054,076,180
008,016,180
001,039,179
030,047,179
068,075,179
014,058,179
025,007,179
006,012,179
017,009,179
063,047,179
067,385,179
118,085,178
012,058,178
012,015,177
017,004,177
015,012,176
018,020,176
010,039,176
046,028,176
012,006,176
056,077,176
031,099,176
015,003,176
028,018,175
003,015,174
035,001,173
005,039,173
005,020,172
011,122,172
021,018,172
106,016,171
044,011,170
039,005,170
085,118,170
016,007,170
029,070,169
101,027,169
068,085,169
053,120,168
016,008,168
193,114,167
053,108,167
044,118,167
018,028,166
002,030,166
039,003,166
097,044,166
039,004,166
033,016,166
115,051,166
031,048,165
003,039,165
037,017,165
017,037,164
099,031,164
021,019,164
085,068,164
087,106,164
016,106,164
039,010,163
006,001,163
001,006,163
039,035,162
009,012,162
043,028,162
004,009,162
009,004,162
035,029,162
052,048,162
009,006,161
122,070,161
033,006,160
044,097,160
039,001,160
012,002,159
051,115,159
108,053,158
006,033,158
001,017,158
048,006,157
070,029,157
157,067,157
048,031,157
003,011,156
030,002,156
033,012,155
058,002,155
030,013,155
032,035,155
104,015,155
033,057,155
013,030,155
012,039,155
070,122,154
007,106,154
121,033,153
067,106,153
017,001,153
031,041,152
024,033,152
085,121,152
001,035,152
106,087,152
048,052,151
044,085,151
016,003,150
026,007,150
046,041,150
120,053,150
035,033,149
039,012,149
002,058,149
003,016,149
039,083,149
016,033,149
066,030,148
047,063,148
085,044,148
018,001,148
001,018,147
044,039,147
001,014,147
033,043,147
026,020,147
002,019,146
033,121,146
087,026,145
067,157,145
006,048,145
106,114,145
009,039,145
106,067,145
058,121,145
039,011,145
006,013,144
011,099,144
039,044,144
028,043,143
011,003,143
118,005,143
106,007,143
011,037,143
051,039,142
066,070,142
002,012,142
006,029,142
015,020,142
017,019,142
013,006,142
010,096,141
099,011,141
029,006,141
020,010,141
028,001,141
083,039,141
020,015,141
053,024,141
033,024,140
021,048,140
032,019,140
103,076,140
011,015,140
037,033,140
051,062,140
012,031,139
020,004,139
057,033,139
002,009,139
068,052,139
018,030,139
041,039,139
013,015,139
019,002,139
004,020,139
004,096,138
026,087,138
004,029,138
030,018,138
004,011,138
058,106,137
039,009,137
033,029,137
001,030,137
012,009,137
114,109,137
015,011,136
019,021,136
037,011,136
039,041,136
007,026,136
013,041,136
029,033,135
033,106,135
106,058,135
009,002,135
030,001,135
014,002,135
114,020,135
037,019,135
014,033,135
003,017,135
053,035,135
114,106,134
117,093,134
002,014,134
109,010,134
