origen,destino,peso
120,039,4081
039,120,4060
039,098,4058
098,039,4021
006,007,3475
011,007,3461
007,006,3431
007,011,3420
005,104,3236
104,005,3171
035,028,3002
028,035,2962
014,006,2734
006,014,2622
039,101,2473
015,017,2446
017,015,2445
101,039,2400
050,013,2257
013,050,2224
017,006,2088
006,017,2072
014,011,2025
014,015,2004
005,058,1996
058,005,1992
015,014,1966
017,005,1955
005,017,1947
010,014,1941
014,010,1926
011,014,1904
003,012,1881
015,016,1874
012,003,1869
097,039,1852
016,015,1840
002,005,1800
039,097,1796
005,006,1756
005,002,1751
098,097,1736
006,005,1736
097,098,1705
005,033,1698
007,058,1674
058,007,1644
033,081,1609
039,046,1608
003,007,1603
033,005,1602
026,031,1592
106,054,1584
114,119,1571
048,051,1570
054,106,1560
007,003,1558
081,033,1548
031,026,1547
046,039,1546
051,048,1544
119,114,1536
039,026,1529
026,039,1528
010,018,1518
010,008,1499
015,005,1497
004,010,1469
010,004,1463
008,010,1458
005,015,1447
058,033,1442
018,010,1427
007,035,1427
016,010,1417
010,016,1411
006,046,1389
035,007,1388
033,058,1386
012,013,1385
013,012,1372
046,006,1368
028,105,1360
104,013,1349
105,028,1342
098,120,1327
120,098,1309
013,104,1297
004,003,1283
009,038,1267
004,001,1266
007,014,1263
016,057,1260
038,009,1257
098,101,1256
057,016,1256
003,014,1243
014,003,1241
014,007,1236
006,026,1230
001,004,1226
003,004,1225
101,098,1220
058,031,1215
026,006,1211
031,058,1183
004,005,1149
005,004,1137
046,021,1132
004,002,1131
025,039,1129
002,004,1128
007,005,1122
017,007,1117
013,121,1116
021,046,1116
121,013,1094
002,010,1087
039,025,1086
039,122,1081
122,039,1071
010,002,1058
005,007,1049
109,020,1036
020,109,1024
007,017,1024
020,037,1019
037,020,996
019,039,977
193,028,963
039,019,956
104,033,955
033,104,947
001,005,946
030,027,943
012,007,941
020,039,940
027,030,938
007,012,931
005,001,930
028,193,928
002,033,927
050,041,915
041,050,912
013,007,910
003,010,909
121,109,906
039,020,905
021,039,900
048,083,896
007,013,895
104,002,894
002,104,890
039,018,889
039,021,888
046,026,888
010,003,887
002,015,886
018,039,880
109,121,879
015,002,876
083,048,876
033,002,870
026,046,854
012,008,847
057,104,843
015,006,839
007,070,838
041,030,835
104,057,834
008,012,823
039,006,818
097,101,817
021,006,816
101,097,816
006,039,815
006,015,815
114,041,810
002,016,806
006,058,803
017,056,794
006,021,789
053,088,788
012,010,788
016,014,786
041,114,781
088,053,779
005,014,777
056,017,775
004,013,768
010,012,767
016,002,763
006,041,763
013,004,763
070,007,760
030,041,758
058,006,757
041,006,750
014,005,748
002,008,748
008,002,748
058,017,724
097,120,723
017,058,720
120,097,717
048,039,716
004,019,713
014,016,711
020,007,711
051,106,710
007,015,707
032,033,706
039,048,705
007,020,703
033,032,697
048,019,696
007,033,695
015,007,689
001,003,687
003,038,685
114,015,681
019,048,680
106,118,677
104,121,676
033,007,676
033,020,672
003,001,670
033,010,670
037,004,661
004,037,656
015,114,655
001,011,655
121,104,654
118,106,653
011,001,650
010,033,645
019,004,644
020,033,644
121,024,643
005,010,632
024,121,631
106,051,630
006,018,627
004,006,627
