origen,destino,peso
039,120,3716
120,039,3684
098,039,3410
039,098,3370
006,007,3342
007,006,3337
028,105,3235
105,028,3227
005,104,2867
017,015,2830
015,017,2774
007,011,2755
011,007,2696
104,005,2642
028,035,2570
035,028,2546
017,005,2538
005,017,2523
014,006,2432
050,013,2399
013,050,2393
003,012,2369
012,003,2318
006,014,2315
017,006,2278
006,017,2245
016,015,2238
015,016,2227
015,014,2032
014,015,1983
003,007,1958
039,101,1948
015,005,1902
010,014,1898
007,003,1897
101,039,1881
014,010,1867
005,015,1836
002,005,1724
005,002,1697
119,114,1694
114,119,1665
005,033,1652
006,005,1615
016,057,1612
039,026,1609
057,016,1602
007,058,1585
026,039,1579
058,007,1568
039,046,1556
005,006,1546
033,005,1545
011,014,1526
106,054,1510
046,039,1499
054,106,1466
014,011,1452
058,005,1401
013,104,1400
058,033,1399
104,013,1398
033,081,1391
016,010,1390
010,016,1368
033,058,1361
010,008,1358
005,058,1336
014,003,1330
012,013,1325
026,031,1307
013,012,1293
008,010,1288
081,033,1281
031,026,1256
003,014,1254
098,097,1229
007,014,1214
014,007,1208
097,098,1204
097,039,1203
009,038,1194
039,097,1181
038,009,1172
006,046,1171
051,048,1166
048,051,1149
046,006,1142
028,193,1134
120,098,1130
021,046,1120
193,028,1106
046,021,1106
057,104,1096
058,031,1094
101,098,1088
098,101,1085
007,017,1076
006,026,1069
010,002,1066
017,007,1063
019,039,1059
002,010,1058
050,041,1056
031,058,1054
030,027,1050
104,002,1038
041,050,1033
104,057,1033
004,010,1032
109,020,1032
002,104,1031
010,004,1031
121,109,1022
098,120,1019
010,018,1014
026,006,1014
039,019,1008
020,109,1002
007,070,999
109,121,993
027,030,961
004,005,950
016,014,948
035,007,936
007,035,934
005,004,932
006,015,925
018,010,902
002,015,896
070,007,895
104,033,894
010,003,882
015,006,882
003,010,880
015,002,880
033,104,875
046,026,872
002,016,859
025,039,853
014,016,845
039,025,837
026,046,835
012,007,824
001,005,820
039,021,815
016,002,811
005,001,810
002,004,801
021,039,794
007,012,791
114,015,789
004,002,788
041,114,781
114,041,769
018,039,768
007,015,767
058,017,767
008,012,765
039,018,759
013,121,753
017,058,753
121,013,748
017,056,742
056,017,737
015,114,735
006,039,728
122,039,728
015,007,727
121,024,719
006,058,710
021,006,707
039,122,705
058,006,704
002,033,703
037,004,702
005,007,697
012,008,697
104,121,696
007,005,696
039,006,695
038,003,691
004,003,683
006,021,679
003,004,676
024,121,676
033,002,671
088,053,669
004,037,662
083,048,661
003,038,659
012,010,656
005,014,654
048,083,653
053,088,652
010,012,636
037,020,636
013,007,633
007,013,630
041,006,625
020,033,620
121,104,619
013,060,607
120,097,607
006,041,600
013,004,597
039,048,596
060,013,595
097,120,591
020,039,588
014,005,587
020,037,586
030,006,585
039,020,585
033,007,583
029,031,582
033,020,579
004,013,578
048,039,575
037,057,569
007,033,566
087,065,559
065,087,552
031,029,548
057,037,539
051,106,536
006,030,533
002,057,531
106,118,529
033,017,526
070,058,524
058,070,523
004,001,518
118,106,511
001,004,501
057,013,500
048,018,497
098,070,495
018,048,493
007,039,492
057,002,491
004,006,484
006,004,484
017,014,482
048,019,479
106,051,476
018,006,474
017,033,468
019,048,468
006,018,468
070,098,466
013,057,465
001,011,464
032,033,464
014,017,459
005,011,459
070,039,455
011,005,454
122,025,453
011,001,449
039,007,445
013,003,442
104,109,441
003,013,439
119,140,438
140,119,432
025,122,432
022,025,430
109,104,429
032,028,428
025,022,427
033,032,427
101,050,424
015,033,423
039,070,422
002,008,420
020,120,420
002,006,420
050,101,419
101,097,416
025,114,416
008,002,413
011,012,412
097,101,412
033,010,411
028,032,411
007,020,409
114,025,409
114,140,407
121,095,407
