origen,destino,peso
039,120,4904
120,039,4893
039,098,4230
098,039,4148
011,007,4088
007,011,4056
006,007,3814
007,006,3779
014,006,3446
005,104,3412
006,014,3404
104,005,3342
013,050,3322
050,013,3286
028,035,3096
035,028,3051
017,006,2709
006,017,2709
015,017,2684
015,014,2632
039,101,2624
017,015,2605
015,016,2592
014,015,2576
101,039,2564
016,015,2543
010,014,2484
014,010,2483
058,005,2460
005,058,2434
012,003,2409
003,012,2376
002,005,2175
097,039,2157
005,002,2156
039,097,2126
017,005,2092
014,011,2062
011,014,2041
010,016,2028
005,017,2021
016,010,2016
039,046,2001
046,039,1964
039,026,1865
026,039,1829
114,119,1810
016,057,1799
057,016,1779
005,033,1759
028,105,1749
105,028,1746
010,008,1731
119,114,1731
098,097,1723
008,010,1711
033,005,1681
003,007,1681
097,098,1666
015,005,1641
106,054,1638
007,058,1632
058,007,1624
054,106,1607
104,013,1606
007,003,1594
005,015,1582
013,104,1572
010,018,1570
098,101,1545
005,006,1529
006,005,1520
014,003,1519
018,010,1517
101,098,1509
058,033,1508
004,003,1486
004,010,1480
033,058,1479
048,051,1479
026,031,1475
006,046,1471
051,048,1470
031,026,1457
012,013,1456
046,006,1452
120,098,1451
013,012,1443
033,081,1440
031,058,1436
098,120,1436
058,031,1435
003,014,1422
014,007,1400
009,038,1398
010,004,1395
007,014,1394
081,033,1389
003,004,1359
038,009,1345
010,002,1320
122,039,1307
007,035,1304
035,007,1286
037,020,1277
020,037,1264
004,002,1257
004,001,1255
002,010,1250
019,039,1250
039,122,1239
026,006,1224
002,016,1224
002,004,1221
039,019,1221
121,013,1211
001,004,1204
006,026,1203
007,005,1201
013,121,1184
050,041,1178
016,002,1172
193,028,1166
005,007,1162
041,050,1160
109,020,1157
004,005,1152
021,046,1152
028,193,1143
020,109,1135
015,006,1135
005,004,1133
006,015,1130
046,021,1126
017,007,1119
003,010,1117
020,039,1094
039,025,1086
007,017,1085
104,033,1084
025,039,1075
010,003,1074
002,015,1070
039,020,1062
016,014,1057
015,002,1049
027,030,1044
057,104,1039
104,057,1030
030,027,1027
041,030,1020
109,121,1016
121,109,1013
030,041,1006
033,104,1003
033,002,1000
021,039,998
012,007,994
104,002,990
002,033,988
007,013,988
007,012,982
012,010,975
002,104,975
039,021,961
046,026,957
097,101,950
006,039,948
014,016,939
007,015,927
013,007,915
005,001,910
101,097,906
001,005,905
026,046,903
010,012,899
041,006,893
039,018,888
015,007,888
039,006,883
007,070,883
006,041,881
018,039,879
014,005,869
006,058,860
017,014,857
008,012,854
104,121,847
048,019,840
121,104,840
012,008,837
070,007,836
004,013,834
014,017,831
005,014,830
019,048,826
013,004,823
039,048,818
020,007,815
005,003,809
083,048,807
033,020,807
007,033,803
020,033,801
033,007,799
058,006,798
056,017,792
003,005,792
037,004,791
048,083,788
021,006,788
006,021,786
004,037,785
041,114,776
005,050,767
106,118,764
121,024,759
008,002,758
017,058,758
007,020,756
114,041,755
017,056,752
118,106,748
048,039,747
001,003,742
003,001,738
010,033,736
114,015,733
032,033,727
033,010,719
002,008,717
024,121,715
058,017,715
033,032,710
051,106,705
015,114,698
061,017,698
005,010,691
120,020,690
002,006,690
057,037,690
097,120,688
120,097,688
050,005,685
006,002,682
037,057,679
020,120,678
057,013,676
029,031,676
003,038,670
106,051,668
013,057,664
010,005,664
017,061,656
011,005,649
002,057,646
038,003,645
005,011,644
025,122,644
122,025,641
031,029,639
006,018,639
013,003,637
002,003,629
070,039,628
018,006,623
003,002,620
048,018,619
088,053,618
003,013,616
053,088,615
013,060,612
030,066,609
001,002,608
004,006,607
009,007,605
039,070,602
006,004,596
057,002,595
003,009,594
009,003,593
005,013,591
039,031,589
031,039,587
013,005,587
001,011,580
060,013,568
007,009,562
011,001,560
033,017,557
007,010,555
018,048,553
002,001,553
010,013,550
098,070,550
017,012,549
007,039,547
013,011,544
017,035,542
008,006,539
025,022,539
012,017,535
013,010,533
121,095,533
010,007,532
070,098,531
035,017,529
039,007,528
070,031,527
050,101,525
011,013,522
006,008,519
019,004,519
008,016,517
156,114,515
037,032,512
005,043,512
095,121,509
028,001,503
031,070,501
012,016,499
032,037,498
101,050,497
008,005,497
043,005,496
006,011,496
015,033,495
014,012,494
016,008,494
033,015,494
011,012,493
033,109,493
109,033,492
058,070,490
001,028,488
104,007,488
114,007,488
015,058,487
005,008,487
065,087,486
104,109,486
011,006,485
007,016,485
007,104,485
120,101,485
010,039,485
041,021,484
021,041,483
087,065,480
101,120,479
007,018,477
058,015,477
087,106,476
022,025,474
010,015,473
121,005,472
006,030,471
017,033,471
012,014,468
106,076,468
006,031,468
070,058,467
004,007,467
005,121,466
004,019,466
016,012,466
018,007,464
114,156,463
024,011,463
007,004,463
015,010,462
007,114,460
031,033,460
039,010,458
066,030,457
068,044,456
076,051,454
031,006,452
030,006,451
016,007,451
106,087,450
048,108,449
004,030,449
007,002,449
051,076,448
109,104,448
016,004,448
020,018,445
033,013,444
011,002,440
002,011,440
044,068,439
013,033,439
002,007,436
076,106,436
108,048,436
007,008,436
012,011,436
004,016,435
011,024,434
106,018,434
033,114,431
097,082,428
018,019,424
005,016,423
004,017,422
021,031,422
008,003,421
031,021,420
007,029,420
114,140,418
114,058,418
019,018,416
012,035,414
018,020,413
114,033,411
008,018,411
057,010,410
033,031,410
001,035,409
035,001,409
016,017,408
081,058,407
058,081,405
007,122,405
029,007,405
140,114,405
114,025,405
003,008,404
058,114,402
016,005,400
053,039,400
018,008,400
008,020,398
025,031,396
010,057,395
035,012,393
014,001,392
017,016,391
018,106,391
020,108,390
008,007,389
039,053,387
054,076,387
025,114,385
082,097,383
033,014,380
002,019,379
014,033,376
034,041,376
108,020,375
098,020,373
122,007,373
031,025,373
014,114,372
106,005,369
037,015,368
114,014,368
030,004,367
013,002,366
031,010,366
007,025,366
067,106,366
041,003,366
017,004,365
041,034,364
025,027,364
076,054,364
003,041,362
015,011,361
109,108,360
020,008,360
004,008,359
020,098,359
014,004,359
020,056,359
108,109,358
017,039,357
011,015,357
001,014,357
042,001,357
097,070,356
004,050,356
005,106,354
039,017,353
010,021,353
015,037,352
002,013,350
010,031,350
070,097,349
006,012,346
028,032,346
018,011,346
106,067,345
004,014,345
021,010,345
052,041,344
001,042,344
014,013,343
056,020,341
005,031,340
033,011,340
008,004,339
121,085,339
010,006,338
031,100,338
032,028,337
012,006,337
011,018,334
019,002,333
002,017,333
010,001,332
031,007,331
390,067,331
087,026,330
018,030,330
028,018,328
006,003,328
015,004,327
050,004,327
006,010,327
027,025,326
026,087,326
013,014,325
001,010,322
008,017,322
004,012,321
031,005,321
119,140,319
011,033,319
015,003,318
041,052,318
003,006,317
062,051,316
056,077,315
003,015,314
025,006,314
140,119,314
005,020,314
012,004,311
013,041,311
029,011,311
020,005,311
109,024,310
011,029,309
018,028,308
017,002,307
033,003,307
024,109,307
124,189,306
011,008,305
017,008,305
004,009,305
067,390,305
002,039,304
044,022,304
101,020,304
020,031,302
007,031,302
009,004,302
058,010,302
020,101,302
050,092,301
030,018,300
085,121,300
051,062,299
025,007,298
077,056,298
016,006,297
067,020,297
013,009,296
010,058,296
006,025,295
011,020,294
028,021,294
033,001,294
039,002,294
001,007,293
022,044,293
160,157,292
011,122,292
120,007,291
016,013,291
100,031,290
021,028,290
008,011,289
031,020,289
003,033,288
122,011,287
044,039,286
026,021,286
041,013,286
076,045,284
002,055,284
027,101,284
007,120,284
012,002,283
092,050,283
033,006,282
385,067,282
104,015,281
099,011,280
120,053,280
115,106,280
058,014,280
067,385,279
019,021,279
004,015,279
025,012,277
039,106,276
009,011,275
106,115,274
007,001,274
017,010,273
053,120,273
106,039,273
020,067,273
189,124,272
009,013,271
021,026,271
007,109,271
020,011,270
013,030,270
003,030,270
039,044,269
037,017,269
001,017,269
045,076,269
012,025,269
020,053,268
013,016,268
055,002,267
066,063,266
058,002,266
109,007,266
014,058,265
105,193,265
011,009,263
085,118,263
063,066,262
030,013,262
033,036,262
033,030,261
058,121,261
002,014,261
023,054,261
001,033,258
053,020,258
021,019,258
101,027,258
030,033,257
014,002,257
024,108,257
108,024,257
193,105,257
009,002,256
106,016,255
017,001,255
017,037,255
056,055,253
033,042,253
039,003,252
006,033,251
015,104,250
050,002,250
011,099,250
003,039,250
003,050,250
028,007,250
006,016,249
020,028,249
018,012,249
030,002,249
055,056,248
009,012,248
005,114,248
051,115,247
002,012,247
121,033,247
007,028,245
058,013,244
121,058,244
018,001,244
001,030,243
002,050,243
005,081,242
039,050,242
070,034,242
033,121,242
015,020,241
002,030,241
036,033,241
005,012,241
070,122,241
005,037,241
013,058,241
005,021,241
001,008,241
010,017,240
001,018,239
002,009,239
037,011,237
006,001,237
039,005,237
015,039,236
037,005,236
011,037,235
012,005,235
025,029,235
031,048,235
006,114,235
054,023,235
012,018,235
012,009,234
030,003,234
050,039,234
037,016,234
009,017,233
002,058,233
029,025,232
001,020,232
140,041,232
055,020,232
097,044,232
114,005,231
001,006,231
157,160,231
118,085,231
015,013,231
044,097,231
020,017,230
002,092,230
041,140,230
058,016,229
115,051,229
006,013,229
012,031,228
026,048,228
039,015,228
008,001,227
114,193,227
048,031,226
013,015,225
011,003,225
193,114,225
021,018,224
101,012,224
017,009,224
051,039,223
114,006,223
033,037,223
044,003,223
014,008,222
122,070,222
106,062,222
057,033,222
075,066,222
028,011,222
033,016,221
015,057,221
011,028,221
063,041,220
018,021,220
011,017,220
028,020,219
030,015,219
106,114,219
057,005,218
010,037,218
031,099,218
109,010,218
012,101,217
005,019,217
020,001,217
010,020,216
011,100,216
031,017,216
029,006,216
057,012,216
070,029,216
183,189,215
106,026,215
016,058,215
006,029,215
016,033,214
114,106,214
005,057,214
050,003,214
029,099,213
102,189,213
055,028,213
031,012,213
058,003,213
048,033,213
031,041,213
010,109,211
037,033,211
041,031,211
026,041,211
070,033,211
118,044,211
057,015,211
099,031,211
048,026,210
020,010,210
035,033,210
020,015,210
041,026,210
114,010,209
033,051,209
029,070,209
057,058,209
055,054,209
054,055,208
003,011,208
042,018,207
037,010,207
033,026,207
041,063,207
189,183,206
016,104,206
097,009,205
032,014,205
100,011,205
015,001,205
039,037,205
030,001,205
016,106,204
003,058,204
044,118,204
034,070,204
039,051,203
017,019,203
018,002,203
013,114,203
012,020,203
189,102,203
017,031,202
030,020,202
010,114,202
016,037,202
021,005,202
016,001,202
015,012,201
081,005,201
012,057,201
017,020,200
017,027,200
066,050,199
035,019,199
033,070,199
029,058,199
174,181,199
001,016,199
038,005,198
099,029,198
012,015,198
001,015,198
104,014,198
008,014,198
037,021,197
033,057,197
062,106,197
005,038,196
003,016,196
104,016,196
004,039,196
051,033,195
029,008,195
042,033,195
020,114,194
026,033,194
020,012,194
013,006,194
016,003,194
019,005,194
015,030,193
014,039,193
005,039,192
028,055,192
007,037,192
039,014,192
066,075,192
050,066,192
004,020,191
003,044,191
044,101,190
037,039,190
027,123,190
114,034,190
008,029,190
024,033,190
019,017,189
026,106,189
048,017,189
157,067,189
017,011,189
067,157,188
058,057,188
066,053,188
002,018,188
014,104,188
092,002,187
008,013,187
039,049,187
033,048,186
020,030,186
019,035,186
021,045,186
048,005,186
021,037,185
025,011,185
024,091,185
044,007,184
099,033,184
007,057,184
039,009,184
045,079,183
002,100,183
014,032,183
008,050,183
005,109,183
013,001,182
033,024,182
013,008,181
057,007,181
048,014,181
012,001,181
022,018,181
030,028,180
058,020,180
124,101,179
050,059,179
034,114,179
114,020,179
058,029,178
045,021,178
109,058,178
013,093,178
059,050,178
043,108,177
033,099,177
026,020,177
109,005,177
031,019,177
014,048,177
030,039,177
004,018,176
106,006,176
156,149,175
149,156,175
049,039,175
018,022,175
012,033,175
121,060,174
081,120,174
015,028,174
091,024,174
181,174,174
021,048,174
038,087,173
037,007,173
033,012,173
101,044,173
156,161,173
060,121,172
014,044,172
035,009,172
039,004,172
041,032,171
029,033,171
020,004,171
011,030,171
031,009,171
053,066,170
007,032,170
123,027,170
037,002,170
058,109,170
039,013,170
161,156,169
031,003,169
059,060,169
115,110,168
005,048,168
007,044,168
011,025,168
108,043,168
027,017,168
048,021,168
019,031,167
083,039,167
100,002,167
009,031,167
087,038,167
017,048,166
015,031,166
003,017,166
003,031,166
114,013,165
020,058,165
020,097,165
026,007,165
050,006,164
093,013,164
075,068,164
095,023,163
175,131,163
101,124,163
058,012,163
033,035,163
054,003,162
011,016,162
009,039,162
081,092,162
028,030,162
031,015,162
026,005,162
020,055,162
020,026,162
041,046,161
024,003,161
037,019,161
010,120,161
018,027,161
009,035,161
033,038,160
079,045,160
108,006,160
046,041,160
070,120,160
120,081,160
048,006,160
050,008,159
039,030,159
026,008,159
007,101,159
006,048,159
021,001,159
017,021,159
009,005,158
014,057,158
048,009,158
115,067,158
001,021,158
032,041,158
042,011,158
022,040,158
039,083,158
007,121,158
029,001,158
109,015,158
011,042,157
060,059,157
110,115,157
006,106,157
018,042,157
031,061,157
044,014,157
131,175,156
005,026,156
106,046,156
057,014,156
030,011,155
008,026,155
081,069,155
048,042,155
028,008,155
009,025,155
001,012,155
039,206,155
054,018,154
059,044,154
034,003,154
006,108,153
032,003,153
013,109,153
002,037,153
029,002,153
023,041,153
038,133,153
016,011,152
193,016,152
009,006,152
024,053,152
120,070,152
046,106,152
020,014,152
104,058,152
007,110,152
067,115,152
011,104,152
058,104,152
069,036,151
097,034,151
121,007,151
027,018,151
003,054,151
038,033,151
042,048,151
061,031,151
044,035,151
018,054,151
019,034,151
031,114,150
003,034,150
106,014,150
018,090,150
032,006,150
039,041,150
025,009,150
023,085,150
029,004,149
007,053,149
033,029,149
016,193,149
044,059,149
002,119,149
004,029,149
019,037,149
030,012,149
045,039,148
092,081,148
016,041,148
036,069,148
097,020,148
006,009,147
044,030,147
030,025,147
009,097,147
028,015,147
109,013,147
031,081,147
069,081,147
047,017,146
010,104,146
048,074,146
074,048,146
005,009,146
039,057,146
014,106,146
101,118,146
077,086,146
006,045,146
035,013,145
009,048,145
045,006,145
003,024,145
004,033,145
118,101,145
023,121,145
021,017,145
114,031,145
046,031,145
002,031,145
006,050,145
015,109,144
025,030,144
101,070,144
106,048,144
053,007,144
006,032,144
059,120,144
052,068,144
008,028,144
020,121,144
132,019,144
108,065,144
041,023,143
035,044,143
019,007,143
014,020,143
068,075,143
013,037,142
125,093,142
109,114,142
023,095,142
032,059,142
051,022,142
028,033,142
083,009,142
090,018,142
032,013,142
121,057,141
057,039,141
045,038,141
031,011,141
038,045,141
092,033,141
027,005,141
018,033,141
138,118,141
104,010,140
101,007,140
033,004,140
097,083,140
052,048,140
017,047,140
096,010,140
077,016,140
048,052,140
120,059,140
004,062,139
044,033,139
001,013,139
001,029,139
034,097,139
041,022,139
022,051,139
012,030,139
081,031,139
143,132,139
017,013,138
018,031,138
002,114,138
114,109,138
011,039,138
033,193,138
104,011,138
028,039,138
062,004,138
048,002,137
132,143,137
024,095,137
039,045,137
032,110,137
086,077,137
040,022,137
013,032,137
017,003,137
034,019,137
025,020,137
039,058,137
049,089,137
033,092,137
041,039,137
001,067,137
110,007,136
053,024,136
039,011,136
018,004,136
026,037,136
057,121,136
016,077,136
131,040,136
120,010,136
025,017,136
058,099,135
097,015,135
002,029,135
009,033,135
035,021,135
118,138,135
070,101,135
014,031,135
002,048,134
089,049,134
048,058,134
119,002,134
009,083,134
041,016,134
003,018,134
121,020,134
006,035,134
003,032,134
039,001,134
095,024,134
022,038,133
067,399,133
033,039,133
040,055,133
004,074,133
053,044,133
085,023,133
033,009,133
026,019,133
013,017,133
014,028,133
068,052,133
042,047,132
033,021,132
118,081,132
106,090,132
028,050,132
114,002,132
034,091,132
005,118,132
010,076,132
009,010,131
039,028,131
010,096,131
015,097,131
036,023,131
031,002,131
012,058,131
039,124,131
040,131,131
031,018,131
133,038,131
031,046,131
053,016,131
193,033,131
032,018,130
021,035,130
001,039,130
399,067,130
083,097,130
123,038,130
014,121,129
044,029,129
037,013,129
006,101,129
038,022,129
015,032,129
018,032,129
032,015,129
011,031,129
004,038,129
005,027,129
039,033,128
035,005,128
118,005,128
005,035,128
032,046,128
011,010,128
118,004,128
018,013,127
108,007,127
033,044,127
019,132,127
032,051,127
081,013,127
101,006,127
108,053,127
099,058,127
028,014,126
076,010,126
063,076,126
058,059,126
021,033,126
007,108,126
030,022,126
054,051,126
082,073,126
050,038,126
109,003,126
023,033,126
012,021,126
119,106,126
033,028,126
047,042,126
037,026,126
059,058,126
007,019,126
025,103,125
053,071,125
030,021,125
001,031,125
050,030,125
018,003,125
008,038,125
091,023,125
087,039,125
021,025,124
074,114,124
106,119,124
038,050,124
032,016,124
009,008,124
031,014,124
020,024,124
043,033,124
064,059,124
058,122,124
001,124,124
001,053,123
108,010,123
058,048,123
030,050,123
004,118,123
069,189,123
048,010,123
010,011,123
021,030,123
014,030,123
023,036,123
088,106,123
038,023,123
189,069,123
032,007,123
019,026,123
074,004,122
042,026,122
053,001,122
046,032,122
015,076,122
081,007,122
028,017,122
055,041,122
020,025,122
013,035,122
071,053,122
097,002,121
081,118,121
193,001,121
132,033,121
055,040,121
003,028,121
076,063,121
069,023,121
024,020,121
025,005,120
028,003,120
030,115,120
001,116,120
114,074,120
108,121,120
016,061,120
103,025,120
390,350,120
065,108,120
005,032,120
039,012,120
048,106,120
002,081,119
044,048,119
024,031,119
042,021,119
033,060,119
053,108,119
120,042,119
003,027,119
010,009,119
011,050,119
017,025,119
048,001,118
061,016,118
073,082,118
027,003,118
009,094,118
124,097,118
022,041,118
110,032,118
093,125,118
008,009,117
058,039,117
019,006,117
068,085,117
010,108,117
029,044,117
059,033,117
002,025,117
033,018,117
091,034,117
059,064,117
048,044,117
012,029,116
085,001,116
020,013,116
111,114,116
030,014,116
025,002,116
077,048,116
050,028,116
023,091,116
023,010,115
039,032,115
124,039,115
121,108,115
031,001,115
018,026,115
022,032,115
010,048,115
002,024,115
053,035,114
018,005,114
059,032,114
120,009,114
500,026,114
013,018,114
023,069,114
042,106,114
031,024,114
050,011,114
017,041,114
081,003,114
121,023,114
005,018,114
077,051,113
023,038,113
003,057,113
016,020,113
037,001,113
051,070,113
013,039,113
017,057,113
003,109,113
085,068,113
001,037,113
030,044,112
026,042,112
075,029,112
025,021,112
059,027,112
115,030,112
350,390,112
051,077,112
044,053,112
057,017,112
067,001,112
068,118,112
193,184,111
037,051,111
081,002,111
051,032,111
033,043,111
120,017,111
004,011,111
013,021,111
032,005,111
051,054,111
114,001,111
009,120,111
124,001,111
059,065,111
020,016,111
012,039,110
038,123,110
026,018,110
001,193,110
028,024,110
053,098,110
006,020,110
106,088,110
