origen,destino,peso
098,039,4134
039,098,4114
120,039,3872
039,120,3845
011,007,3808
007,011,3792
028,035,3027
006,007,3010
007,006,2967
035,028,2954
014,006,2945
006,014,2831
028,105,2830
105,028,2821
101,039,2777
039,101,2729
005,104,2704
104,005,2679
013,050,2557
050,013,2532
039,097,2365
097,039,2359
004,001,2150
001,004,2131
015,017,2115
017,015,2096
002,005,2075
014,011,2058
011,014,1993
005,002,1979
058,005,1952
005,058,1948
003,012,1879
012,003,1835
005,033,1826
006,017,1817
017,006,1809
098,097,1804
033,005,1773
017,005,1745
097,098,1742
005,017,1705
046,006,1686
006,046,1683
018,010,1664
039,026,1652
003,007,1638
010,018,1626
035,007,1616
007,003,1615
014,010,1582
010,014,1573
026,039,1572
007,035,1571
009,038,1557
038,009,1548
005,004,1547
031,026,1537
007,058,1519
004,005,1516
026,031,1514
114,119,1505
058,007,1503
004,002,1485
010,008,1482
015,016,1479
014,015,1478
119,114,1470
002,004,1470
033,081,1465
008,010,1463
006,026,1462
039,020,1459
020,039,1457
015,014,1455
026,006,1454
098,101,1441
101,098,1431
016,015,1428
081,033,1427
106,054,1415
054,106,1402
012,007,1373
006,005,1359
007,012,1353
039,046,1336
098,120,1334
120,098,1327
005,006,1308
012,013,1308
104,013,1306
048,051,1302
046,039,1300
013,012,1300
058,033,1284
033,058,1282
013,104,1276
058,031,1272
001,005,1267
039,122,1265
005,015,1253
015,005,1252
025,039,1249
039,025,1235
041,006,1234
051,048,1229
006,041,1218
031,058,1210
005,001,1209
014,003,1205
122,039,1200
003,014,1164
109,020,1138
020,109,1107
005,007,1103
004,010,1093
041,050,1082
004,019,1081
010,016,1079
016,010,1074
050,041,1070
007,005,1067
004,013,1057
013,004,1053
121,013,1040
019,004,1037
014,007,1034
020,037,1029
010,004,1026
083,048,1020
007,014,1015
016,057,1006
013,121,1004
003,005,1003
003,004,999
005,003,994
048,083,993
002,010,988
010,002,987
002,033,987
012,008,983
046,021,979
037,020,979
021,046,976
007,017,975
033,002,974
004,003,973
013,007,973
097,101,964
057,016,963
017,007,959
008,012,957
104,002,936
039,018,925
101,097,924
002,104,922
120,020,922
193,028,922
007,013,918
018,039,916
028,193,909
005,008,899
014,005,897
005,014,894
020,120,894
008,005,888
021,006,882
006,021,875
026,046,873
011,013,871
019,039,869
021,039,863
015,002,861
039,019,857
007,070,852
002,015,852
039,021,850
039,006,848
057,104,847
066,030,845
020,007,841
007,020,839
013,011,831
070,007,825
