origen,destino,peso
039,120,5212
120,039,5156
007,006,4690
006,007,4614
039,098,4578
098,039,4401
005,104,3996
007,011,3838
104,005,3809
011,007,3681
015,017,3442
014,006,3433
006,014,3358
016,015,3289
017,015,3231
015,016,3203
028,035,3178
017,005,3171
035,028,3104
005,017,3067
006,017,2985
017,006,2925
003,012,2808
012,003,2807
014,010,2806
010,014,2777
101,039,2748
039,101,2733
014,015,2714
015,014,2702
015,005,2616
105,028,2551
028,105,2538
013,050,2523
005,015,2479
050,013,2474
005,002,2398
002,005,2383
058,033,2354
016,057,2322
033,058,2291
057,016,2211
097,039,2200
039,097,2197
006,005,2168
039,046,2156
014,011,2154
005,006,2150
011,014,2128
039,026,2102
046,039,2090
058,007,2035
003,007,2028
010,016,2005
005,033,2003
016,010,2002
007,058,1994
007,003,1993
026,039,1983
010,008,1968
104,013,1962
008,010,1955
014,003,1952
013,104,1933
033,005,1929
114,119,1908
119,114,1898
005,058,1881
003,014,1853
058,005,1812
098,097,1783
097,098,1777
018,010,1771
106,054,1714
027,030,1699
014,007,1696
054,106,1687
030,027,1686
033,081,1683
046,006,1683
007,014,1642
006,046,1640
012,013,1636
013,012,1614
048,051,1612
038,009,1605
010,018,1601
009,038,1600
081,033,1589
051,048,1577
098,120,1566
007,035,1563
058,031,1559
035,007,1553
031,058,1531
016,014,1530
120,098,1525
019,039,1522
098,101,1486
026,006,1464
039,019,1454
017,007,1445
026,031,1404
101,098,1399
002,004,1396
031,026,1386
006,026,1386
002,104,1381
050,041,1380
015,002,1373
193,028,1367
007,017,1356
028,193,1352
104,002,1350
041,050,1349
014,016,1344
002,016,1336
002,015,1334
004,002,1332
109,020,1321
039,020,1287
016,002,1276
046,021,1266
021,046,1265
005,004,1256
020,109,1255
004,005,1252
122,039,1252
004,010,1250
004,001,1248
025,039,1245
109,121,1244
121,109,1244
006,015,1235
003,010,1234
039,025,1231
001,004,1231
020,039,1223
039,122,1217
104,033,1215
015,006,1209
010,004,1206
121,013,1205
057,104,1204
010,003,1204
013,121,1184
010,002,1174
002,010,1172
104,057,1171
033,104,1154
006,039,1153
007,012,1128
008,012,1114
005,001,1113
039,006,1110
012,007,1110
012,008,1080
001,005,1079
048,083,1074
083,048,1067
010,012,1065
026,046,1063
005,007,1050
046,026,1042
007,033,1038
033,007,1034
007,070,1030
012,010,1030
007,005,1017
015,007,1011
070,007,999
020,037,994
014,005,994
017,058,992
114,041,983
037,020,983
003,004,980
058,017,980
041,006,979
021,039,976
039,021,973
013,007,970
004,003,958
041,114,954
039,018,952
005,014,952
033,002,943
007,015,942
018,039,942
007,013,942
039,048,938
006,041,931
101,097,920
104,121,915
002,033,914
015,114,913
114,015,910
021,006,900
121,024,890
038,003,881
121,104,880
003,038,879
006,058,868
097,101,867
033,020,860
006,021,859
020,033,856
024,121,855
048,039,854
056,017,840
120,097,833
114,033,828
037,004,824
033,032,822
004,037,817
017,056,811
004,013,804
013,057,802
097,120,801
120,020,799
013,004,798
033,114,789
058,006,786
088,053,784
005,050,783
053,088,780
002,057,779
007,020,779
047,063,779
050,005,777
057,002,773
085,121,773
030,041,769
101,050,765
106,118,763
032,033,759
050,101,758
057,013,757
063,047,756
033,031,748
031,033,746
020,120,745
011,001,743
020,007,740
033,017,733
001,011,731
033,013,724
057,037,716
010,005,714
008,004,713
041,030,709
008,005,708
106,051,706
029,031,706
007,039,703
006,004,702
037,057,698
118,106,696
051,106,693
002,008,692
005,008,692
070,058,690
058,070,689
018,006,689
007,009,683
006,030,682
048,019,680
030,006,680
006,018,680
017,033,680
039,007,679
005,011,678
013,060,677
005,010,676
114,156,674
031,029,671
010,015,668
008,002,667
015,010,665
017,014,665
048,018,662
011,005,661
009,007,657
028,001,656
019,048,652
156,114,649
011,006,647
013,033,646
004,008,646
070,039,645
014,017,641
060,013,638
028,032,638
001,028,638
017,012,637
006,011,637
039,070,636
121,085,636
014,012,632
004,006,630
012,014,627
032,028,621
031,039,620
013,005,612
018,048,611
033,015,602
039,031,602
005,013,598
035,017,596
122,025,593
012,006,592
004,019,589
015,033,581
004,016,575
006,012,570
019,004,570
104,109,569
016,004,567
017,035,566
013,003,561
033,109,560
005,016,560
025,122,560
044,068,559
009,003,557
012,017,557
003,009,556
011,012,555
109,033,553
017,004,546
002,006,544
068,044,543
016,005,542
012,016,541
012,011,527
010,013,526
003,013,524
008,011,524
006,002,520
140,114,520
114,140,519
098,070,518
011,008,518
106,076,518
031,020,516
070,031,515
070,098,513
013,010,512
041,003,511
048,108,507
033,010,504
109,104,502
031,070,500
003,005,499
051,076,498
020,031,496
027,025,495
002,003,491
025,006,490
076,051,489
024,011,488
121,005,487
003,041,487
101,120,486
076,106,485
010,033,484
003,002,484
005,003,484
016,017,484
114,058,483
087,106,481
016,012,480
007,016,475
006,031,473
010,006,472
114,007,469
006,025,468
098,020,461
106,087,461
106,039,459
043,005,459
007,122,459
120,101,458
010,007,458
004,017,458
030,003,458
108,048,458
095,121,457
005,043,457
007,010,454
025,031,453
058,015,452
031,021,452
039,106,450
031,006,450
015,058,449
007,018,448
031,025,447
025,027,446
041,021,445
021,041,445
121,095,444
025,022,443
058,114,442
015,003,441
033,037,440
065,087,439
109,114,438
005,121,438
017,016,436
011,024,436
114,109,435
087,065,434
016,007,434
033,014,433
011,013,431
003,030,429
007,114,429
077,056,428
003,032,427
021,031,427
067,020,426
031,007,426
056,077,424
013,011,421
020,098,421
002,013,420
108,109,418
109,108,416
014,033,416
012,035,415
013,002,414
003,008,414
020,067,413
022,025,413
011,122,413
008,003,411
006,010,410
032,003,409
018,007,407
390,067,407
035,012,404
001,007,402
033,003,401
003,015,401
002,011,401
011,018,400
003,033,399
067,390,399
018,011,397
114,025,396
007,031,394
025,114,394
007,008,390
122,007,390
014,001,390
037,032,390
021,010,389
007,002,388
037,033,387
007,001,385
140,119,385
058,081,385
006,033,385
081,058,385
001,002,384
106,067,384
033,006,382
032,037,382
001,010,381
070,097,381
122,011,380
014,004,380
385,067,380
044,059,379
010,109,379
034,041,378
066,063,378
010,021,376
008,017,375
067,385,375
013,058,375
001,003,372
119,140,371
041,034,371
001,014,370
109,024,369
013,014,368
017,008,367
109,010,367
020,108,365
015,104,364
028,018,364
053,039,364
039,017,362
001,035,361
017,037,361
035,001,361
005,031,361
010,031,360
067,106,359
010,001,359
011,002,358
047,066,357
004,014,357
