origen,destino,peso
028,105,6365
105,028,6362
039,120,6153
120,039,6105
007,006,5133
006,007,5083
039,098,4985
098,039,4800
003,012,4628
012,003,4613
007,011,4170
005,104,4167
104,005,4094
011,007,4020
014,006,3949
006,014,3676
014,010,3554
015,016,3496
010,014,3482
028,035,3461
035,028,3409
019,039,3402
016,015,3395
039,019,3356
119,114,3324
006,017,3290
114,119,3234
017,006,3206
016,010,3025
010,016,2959
015,014,2919
014,015,2891
039,101,2871
039,026,2854
101,039,2831
026,039,2819
010,008,2803
017,005,2782
005,017,2676
012,013,2659
015,017,2657
017,015,2654
011,014,2615
014,011,2614
013,012,2609
008,010,2555
106,054,2553
039,046,2527
016,057,2512
010,004,2480
054,106,2469
104,013,2462
046,039,2448
048,051,2413
005,058,2406
004,010,2386
014,003,2371
057,016,2364
051,048,2350
013,104,2345
003,007,2342
026,031,2299
031,026,2274
015,005,2265
058,005,2258
007,003,2212
003,014,2192
098,097,2165
006,005,2161
005,015,2157
005,006,2122
007,058,2099
046,021,2079
097,098,2067
058,007,2058
021,046,2022
002,005,1977
046,006,1974
038,009,1956
009,038,1954
006,046,1929
005,002,1926
005,004,1900
004,005,1900
033,081,1880
120,098,1838
057,104,1807
098,120,1769
081,033,1766
104,057,1698
050,013,1693
013,050,1689
005,033,1687
026,006,1681
003,010,1675
033,005,1671
097,039,1670
006,026,1665
098,101,1654
039,097,1639
010,003,1633
016,014,1630
014,007,1588
005,001,1576
046,026,1569
028,193,1559
193,028,1556
101,098,1548
001,005,1535
058,033,1534
007,014,1532
026,046,1523
057,013,1517
013,057,1514
002,016,1507
004,037,1507
037,004,1492
033,058,1486
039,018,1421
121,013,1408
013,121,1406
014,016,1400
016,002,1399
109,020,1384
015,002,1383
002,015,1359
018,039,1348
020,109,1348
010,018,1339
007,035,1328
002,010,1327
012,007,1311
010,002,1306
035,007,1304
007,012,1287
008,012,1284
018,010,1264
058,031,1256
010,012,1252
021,006,1251
104,033,1216
025,039,1213
012,010,1193
039,025,1189
006,021,1188
121,109,1181
007,070,1179
109,121,1170
031,058,1163
013,007,1160
057,037,1158
037,057,1151
007,013,1150
122,039,1149
120,097,1148
070,007,1118
104,002,1115
012,008,1115
019,048,1109
002,104,1105
039,122,1096
097,120,1091
033,104,1074
048,019,1072
004,013,1063
005,007,1046
039,021,1037
006,058,1034
013,004,1021
114,041,1014
140,119,1014
007,005,1008
015,006,1006
050,041,1003
041,114,1001
002,033,998
021,039,996
041,050,987
033,002,985
003,004,975
006,015,972
058,006,959
039,049,953
016,004,947
017,007,943
004,003,939
037,020,938
004,001,937
020,039,921
114,015,917
119,140,916
056,017,906
020,037,902
001,004,895
007,017,891
033,020,889
104,121,889
020,033,881
121,024,875
106,118,865
004,016,864
024,121,862
014,005,856
015,114,856
057,002,841
118,106,838
002,057,835
051,106,834
011,006,832
121,104,831
017,056,830
004,002,823
002,004,822
006,011,820
044,068,814
017,058,814
048,083,810
029,031,804
068,044,803
039,048,801
005,014,800
083,048,797
003,038,792
039,020,791
031,029,785
058,017,785
038,003,776
041,006,774
006,041,772
006,018,771
013,060,764
048,039,762
018,006,760
049,039,755
011,005,747
076,051,745
013,003,738
030,032,737
010,033,731
003,013,727
114,140,719
070,098,716
033,010,713
006,039,705
060,013,704
053,088,702
007,018,701
088,053,700
039,006,695
106,051,686
051,076,685
048,018,684
098,070,682
005,011,681
009,007,677
062,051,676
004,006,675
006,004,673
020,007,672
018,048,670
027,030,665
030,027,657
007,020,656
003,005,651
007,039,649
009,003,647
032,030,646
006,030,644
005,003,641
003,009,640
030,006,639
012,011,639
011,012,637
108,048,637
041,034,634
019,004,632
140,114,630
087,065,627
097,101,627
048,108,624
039,007,624
065,087,624
101,097,622
054,076,614
011,001,611
101,050,603
007,009,601
018,007,596
028,011,596
034,041,596
007,008,591
008,007,585
008,002,584
032,033,583
033,032,581
005,016,581
010,013,580
122,025,579
050,101,577
007,015,577
011,028,576
001,011,570
006,002,569
015,007,568
058,070,565
013,011,563
012,009,557
010,005,555
051,062,550
013,010,548
016,012,547
070,058,544
002,008,540
017,035,539
076,054,539
025,122,537
012,016,533
002,006,531
005,043,525
016,005,524
067,390,522
106,005,521
004,019,521
020,108,520
041,030,517
013,033,508
011,013,506
121,095,503
390,067,501
035,017,498
031,039,496
005,010,495
108,020,495
043,005,494
033,013,490
031,070,489
056,077,486
033,109,483
005,013,482
017,014,482
031,006,477
041,021,476
025,006,475
014,017,475
106,076,474
039,031,473
097,070,472
077,056,472
021,010,471
006,031,469
030,041,467
070,097,466
070,031,463
013,005,461
039,070,461
010,021,459
095,121,458
021,041,458
004,008,455
076,106,454
001,007,454
008,004,454
109,033,452
033,007,452
050,004,451
070,039,451
007,033,450
008,011,450
067,020,445
004,050,438
007,122,437
006,025,437
025,022,437
004,062,435
109,108,435
122,007,435
015,010,434
011,008,432
016,008,429
108,109,424
104,109,423
114,156,420
008,016,419
025,031,417
156,114,415
018,028,415
020,067,415
008,017,415
035,012,414
011,024,412
012,035,409
021,026,409
024,011,405
005,114,404
010,007,402
012,014,401
007,001,401
022,025,400
020,120,399
017,008,398
020,012,396
031,025,396
010,015,395
004,012,395
004,038,394
033,006,393
006,033,392
010,001,392
026,021,391
041,140,389
120,020,388
018,008,384
003,002,382
012,020,381
011,122,377
002,003,377
119,106,377
140,041,376
005,106,375
028,018,374
016,017,374
008,005,373
037,032,372
032,037,370
014,012,369
008,018,369
005,008,369
017,033,369
007,010,368
001,010,365
024,108,365
082,077,364
021,028,362
003,008,361
106,018,361
011,029,359
008,003,358
028,021,357
029,033,356
005,031,356
031,005,354
029,011,353
038,004,351
114,033,351
015,033,349
018,106,349
067,106,348
031,020,348
018,013,347
029,025,347
109,104,347
033,029,346
016,037,345
033,114,345
006,010,344
025,029,343
013,018,341
003,058,341
106,119,340
109,024,340
018,021,340
012,004,339
006,029,339
017,016,338
067,385,337
006,012,337
033,017,337
021,018,336
017,012,336
058,003,336
010,006,334
029,006,334
004,007,334
069,051,332
