origen,destino,peso
028,105,4897
105,028,4891
120,039,4371
039,120,4348
039,098,3606
098,039,3571
007,011,3131
011,007,3089
007,006,3027
006,007,2992
003,012,2955
012,003,2954
104,005,2952
005,104,2945
028,035,2859
035,028,2809
014,006,2433
006,017,2425
006,014,2351
017,006,2334
015,016,2296
016,015,2290
004,003,2148
101,039,2094
039,101,2051
015,017,2004
017,015,2004
003,004,1986
015,014,1961
005,017,1921
017,005,1913
014,015,1910
014,010,1837
097,039,1819
039,097,1761
010,014,1760
039,046,1679
058,005,1649
005,058,1642
050,013,1637
013,050,1634
046,039,1633
016,010,1631
002,005,1621
005,002,1610
010,016,1595
039,026,1592
014,011,1570
098,097,1554
026,039,1545
011,014,1528
097,098,1524
054,106,1492
006,005,1491
003,007,1483
007,003,1459
005,006,1447
106,054,1442
016,057,1431
010,008,1422
005,033,1420
057,016,1420
015,005,1413
033,005,1405
007,058,1405
008,010,1379
058,007,1367
104,013,1346
114,119,1345
005,015,1341
013,012,1325
119,114,1320
033,081,1314
081,033,1309
012,013,1303
098,120,1297
120,098,1284
026,031,1279
046,006,1274
013,104,1272
006,046,1267
048,051,1250
051,048,1246
014,003,1239
026,006,1220
031,026,1213
003,014,1181
006,026,1181
098,101,1172
004,010,1164
010,004,1157
018,010,1147
010,018,1146
004,001,1144
001,004,1130
101,098,1129
005,004,1118
007,035,1101
019,039,1099
035,007,1075
004,005,1072
039,025,1062
014,007,1059
031,058,1058
028,193,1058
007,014,1055
058,031,1052
039,019,1040
009,038,1031
193,028,1020
038,009,1018
025,039,1005
033,058,991
015,002,982
058,033,981
039,122,971
121,109,952
109,121,947
122,039,946
021,046,930
050,041,927
046,021,922
002,015,916
015,006,913
001,005,911
007,012,907
104,033,903
012,007,898
006,015,898
039,021,894
041,050,891
057,104,889
017,007,888
003,010,886
002,010,886
021,039,884
002,104,884
010,002,880
033,104,878
030,041,861
109,020,861
104,057,860
020,109,860
002,016,856
005,001,849
104,002,849
010,003,849
046,026,834
007,005,833
039,006,826
005,007,821
041,030,818
006,039,817
024,121,810
016,002,809
026,046,804
007,017,802
121,024,801
039,020,788
020,039,778
004,013,762
039,048,757
016,014,757
018,039,748
013,007,748
007,070,746
070,007,746
007,013,746
048,039,744
013,004,741
039,018,732
056,017,716
097,120,709
120,097,703
013,121,700
121,013,694
021,006,694
014,016,692
017,056,692
104,121,688
006,058,687
012,011,682
121,104,681
004,002,681
002,033,679
033,002,672
011,012,669
008,012,669
002,004,666
006,021,664
010,012,662
058,006,653
012,010,653
013,003,647
057,002,644
003,013,641
017,058,637
101,097,637
002,057,635
038,003,631
097,101,631
058,017,629
007,020,629
114,041,623
020,007,618
020,037,615
030,032,614
030,006,614
003,038,612
037,020,609
006,041,608
007,015,599
037,004,599
012,008,597
041,006,596
004,037,594
015,007,594
033,020,591
114,015,589
032,030,584
041,114,580
057,013,579
057,037,575
007,039,572
037,057,571
006,030,568
015,114,564
106,118,561
083,048,558
018,006,557
013,060,556
020,033,556
013,057,554
014,005,548
118,106,542
048,108,540
060,013,539
006,018,538
053,088,534
048,083,534
005,014,531
051,106,529
032,033,524
088,053,520
108,048,520
063,066,518
039,007,517
033,032,507
005,003,506
031,039,504
003,005,504
070,098,503
019,004,498
005,011,495
011,005,495
004,006,493
027,030,491
070,039,485
006,004,483
