origen,destino,peso
120,039,5751
039,120,5744
039,098,5015
098,039,4770
007,011,4179
011,007,4171
006,007,4141
007,006,4127
005,104,3910
104,005,3886
028,035,3755
035,028,3702
014,006,3540
006,014,3361
101,039,3026
039,101,3008
006,005,2929
015,017,2889
005,006,2849
017,006,2842
006,017,2795
017,015,2742
012,003,2668
003,012,2580
016,015,2540
015,016,2529
002,005,2493
014,010,2475
014,015,2469
010,014,2461
005,002,2459
015,014,2423
017,005,2386
005,017,2384
033,005,2322
005,033,2321
097,039,2288
011,014,2288
028,105,2282
014,011,2277
105,028,2251
039,097,2234
005,058,2223
058,005,2178
039,026,2162
039,046,2155
046,039,2084
035,007,2074
026,039,2069
007,035,2044
007,058,2035
010,008,2033
050,013,1992
008,010,1968
058,007,1965
013,050,1965
015,005,1964
098,097,1929
003,007,1903
016,010,1900
097,098,1890
114,119,1883
010,016,1878
119,114,1874
120,098,1846
005,015,1845
106,054,1837
007,003,1829
098,120,1808
026,031,1805
051,048,1797
104,013,1790
048,051,1777
054,106,1776
013,012,1765
081,033,1758
031,026,1756
012,013,1752
033,081,1751
016,057,1717
013,104,1712
057,016,1694
006,046,1683
046,006,1683
006,021,1655
021,006,1644
026,006,1627
039,021,1626
006,026,1597
021,039,1594
038,009,1556
010,018,1547
012,007,1544
098,101,1542
009,038,1540
101,098,1538
007,012,1535
014,003,1528
003,014,1506
018,010,1499
001,004,1497
058,033,1493
004,001,1493
033,058,1475
014,007,1459
004,005,1458
005,004,1455
058,031,1400
007,014,1397
031,058,1374
046,021,1360
005,001,1355
007,005,1354
013,121,1350
021,046,1345
121,013,1324
005,007,1310
019,039,1308
001,005,1306
002,016,1301
039,019,1298
193,028,1295
028,193,1279
016,002,1270
039,122,1266
050,041,1262
046,026,1253
122,039,1242
039,025,1238
041,050,1222
004,002,1211
109,020,1210
002,004,1210
026,046,1207
025,039,1206
010,004,1202
004,003,1194
017,007,1188
002,010,1186
010,002,1186
015,002,1180
003,004,1176
013,007,1174
104,002,1173
002,104,1173
014,005,1169
005,014,1168
002,015,1168
004,010,1163
048,039,1160
007,017,1160
041,006,1157
039,006,1153
057,104,1151
020,109,1150
006,039,1146
006,015,1126
010,012,1120
039,048,1111
007,013,1109
008,012,1107
039,020,1104
015,006,1099
020,039,1097
104,033,1095
121,109,1088
006,041,1088
104,057,1086
012,008,1085
033,104,1083
012,010,1075
039,018,1069
109,121,1065
008,002,1058
007,070,1048
003,010,1034
088,053,1033
013,004,1024
018,039,1023
053,088,1017
004,013,1010
037,020,1009
006,018,1006
010,003,1005
002,008,1004
020,037,1004
101,097,996
097,101,985
018,006,984
070,007,982
114,041,979
015,007,978
002,033,972
006,058,971
003,038,969
033,002,967
058,006,959
038,003,955
016,014,953
003,002,949
104,121,942
005,010,941
011,001,939
007,015,939
041,114,939
010,005,931
030,032,929
002,003,922
001,011,918
032,030,891
121,104,883
002,057,881
037,004,880
014,016,871
039,031,868
048,083,863
004,037,859
083,048,854
021,028,849
017,058,848
006,002,847
013,057,847
028,021,833
051,106,828
031,039,828
002,006,824
007,039,824
058,017,820
057,002,817
011,006,816
121,024,816
006,011,809
097,120,801
122,025,800
106,118,798
057,013,791
025,122,790
056,017,787
118,106,785
007,009,782
005,011,781
024,121,777
015,114,772
039,007,766
120,097,762
017,056,761
020,007,761
013,005,755
020,033,754
114,015,753
007,020,749
033,020,749
005,013,740
106,051,738
010,033,736
019,004,735
004,019,732
011,005,731
039,070,722
009,007,719
011,013,715
033,010,714
070,039,710
008,004,708
012,011,705
011,012,701
006,004,700
007,033,696
004,006,692
013,011,692
037,057,692
033,109,691
011,002,689
031,021,682
058,070,682
032,033,677
021,031,676
029,031,676
048,018,675
013,060,674
020,120,672
033,007,671
050,101,670
070,058,666
019,048,664
004,008,662
033,032,660
057,037,658
003,005,657
003,009,655
013,010,654
101,050,651
031,029,650
109,033,649
002,011,647
070,031,639
014,017,636
041,030,636
098,070,631
009,003,630
030,027,628
120,020,626
063,066,625
003,013,622
013,003,622
018,048,621
005,003,620
027,030,619
017,014,616
031,070,616
006,030,616
031,005,616
005,031,615
010,013,614
012,035,613
030,041,611
025,114,609
114,005,609
030,006,607
060,013,605
114,025,603
048,019,603
070,098,599
035,012,590
005,008,583
156,114,581
002,001,578
010,007,578
017,004,578
108,048,574
006,025,574
005,106,574
007,018,566
005,050,565
121,005,565
114,156,558
048,108,557
005,121,556
008,005,554
114,140,554
001,002,553
031,006,553
005,114,551
006,031,550
025,006,549
012,014,548
106,005,548
007,010,547
104,109,544
017,012,543
070,051,542
014,012,541
037,032,540
012,017,540
032,037,540
065,087,536
004,017,533
010,001,532
016,004,530
018,007,526
016,005,524
101,120,520
076,051,520
005,016,520
050,005,519
120,101,519
087,065,518
031,033,511
006,001,510
140,114,508
033,031,508
051,070,506
001,006,506
017,033,506
021,041,499
012,016,499
054,076,498
004,016,498
017,035,493
044,068,492
016,012,491
003,001,491
051,076,489
041,021,488
035,017,485
008,007,482
109,104,482
068,044,481
033,114,478
097,070,478
070,097,476
010,015,475
033,017,475
033,014,473
015,010,472
014,033,472
006,008,472
007,122,471
011,024,471
001,010,470
006,012,468
114,033,467
016,017,465
015,033,465
024,011,465
104,007,463
001,003,462
007,001,460
008,006,458
097,003,456
076,054,456
033,015,454
010,031,453
020,101,453
007,008,450
025,031,448
067,390,446
022,025,446
390,067,445
001,007,443
031,010,442
007,104,441
012,006,441
008,017,441
008,003,440
016,007,440
041,013,439
018,020,435
003,008,434
007,002,434
020,018,433
140,119,432
122,007,432
031,025,429
007,029,429
025,022,427
007,044,426
017,008,423
029,007,421
020,031,420
018,106,419
028,039,419
119,140,418
017,016,417
101,020,417
095,121,416
031,020,416
044,007,415
033,042,413
108,109,413
006,010,413
076,106,411
007,004,411
014,002,409
002,007,409
092,075,407
109,108,407
121,095,407
039,028,406
067,020,406
037,019,405
033,037,403
011,029,403
020,067,399
106,076,398
075,092,396
021,019,396
066,063,395
029,011,394
114,014,392
005,020,391
002,014,391
005,109,388
013,041,387
017,019,385
041,034,385
008,011,384
007,016,384
109,005,383
011,008,383
018,028,382
037,033,381
015,012,381
003,097,381
019,017,381
032,003,380
109,024,380
001,035,378
083,009,378
019,021,375
035,001,375
004,007,375
098,020,374
019,037,374
058,081,372
042,033,371
015,058,371
081,058,370
005,012,369
019,002,369
005,043,368
030,001,368
028,018,368
020,005,367
