municipio,num_dispositivos
02_004,91085
09_007,81501
21_114,79538
15_033,69820
08_037,69506
14_039,68809
11_020,67207
19_039,60609
09_005,56420
14_120,52990
15_058,52523
22_014,46355
02_002,40373
15_057,39306
31_050,38192
23_005,37613
28_032,35822
16_053,35818
08_019,35551
24_028,35453
09_010,35242
15_106,34928
05_030,34491
19_026,32920
09_015,32188
19_006,31689
01_001,31554
26_030,31207
09_012,30789
15_104,30291
09_003,28894
14_097,28852
05_035,28776
25_006,28524
14_098,28002
15_013,27354
15_031,25465
09_017,24394
15_121,24052
09_014,23718
12_001,23705
27_004,23694
28_022,23524
09_016,23312
30_193,23072
14_101,22979
15_109,21719
19_046,21306
17_007,21209
02_001,20671
09_006,20658
19_031,20420
15_039,20384
09_002,19922
19_021,19596
15_081,18747
28_027,18430
30_087,18394
09_013,17875
19_018,17053
10_005,16936
09_011,16538
11_007,16349
23_008,15842
11_017,15375
15_122,15224
13_048,14894
19_048,14854
28_041,13959
07_101,13956
03_008,13914
28_038,12983
15_025,12678
25_012,12427
15_020,11938
14_067,11641
24_035,11584
09_008,11283
17_011,10983
10_007,10946
15_060,10914
19_019,10891
15_037,10836
15_054,10753
15_070,10611
09_004,10464
25_001,10163
26_018,10023
28_003,9974
18_017,9908
04_002,9884
03_003,9757
20_067,9601
05_018,9499
21_156,9346
13_051,9252
15_099,8755
05_025,8610
22_006,8608
28_009,8542
22_011,8523
30_039,8324
12_029,8230
32_010,8081
16_102,7953
30_044,7950
22_016,7943
17_006,7840
23_004,7831
15_024,7830
30_028,7218
04_003,6799
21_119,6760
11_027,6716
26_043,6689
07_089,6535
15_029,6371
19_041,6329
32_056,6185
15_051,6005
08_017,5985
13_077,5931
11_037,5855
15_108,5841
26_055,5795
18_020,5770
30_118,5724
32_017,5555
14_093,5494
15_120,5458
30_189,5440
26_029,5424
30_131,5323
14_070,5286
06_007,5245
11_003,5150
26_048,5141
25_011,5129
11_015,5101
02_003,5010
16_052,4983
28_033,4956
13_069,4879
06_002,4857
27_002,4852
30_108,4806
21_041,4786
05_027,4723
15_118,4721
15_002,4708
17_018,4576
14_053,4575
21_140,4557
21_132,4541
19_025,4511
17_008,4422
08_021,4401
10_012,4320
16_108,4256
26_042,4254
29_033,4248
02_005,4095
11_014,4043
09_009,4025
07_078,4011
27_013,3996
27_008,3984
17_029,3965
26_017,3958
21_019,3940
08_032,3937
31_041,3913
15_110,3855
12_035,3839
27_005,3817
24_024,3717
11_042,3670
14_083,3659
11_031,3657
30_124,3633
19_009,3585
06_010,3556
15_042,3499
15_076,3492
27_012,3492
13_076,3485
14_063,3415
29_005,3372
23_001,3362
15_005,3319
05_010,3312
19_010,3306
24_013,3281
20_385,3272
16_088,3263
14_023,3224
01_005,3187
24_020,3154
11_005,3148
12_038,3094
30_048,3082
20_184,3029
14_044,2981
30_102,2967
21_015,2962
07_019,2931
19_045,2930
17_028,2871
19_033,2866
11_032,2852
16_006,2832
30_105,2799
15_035,2760
16_112,2744
31_102,2743
14_018,2679
13_030,2664
30_174,2661
05_017,2644
19_038,2644
16_066,2638
29_010,2636
07_059,2617
05_033,2606
14_013,2565
14_073,2555
05_028,2530
31_059,2516
15_014,2499
21_071,2498
14_124,2498
11_030,2476
22_012,2456
27_014,2434
11_011,2420
23_009,2418
15_095,2412
07_061,2400
11_033,2399
30_068,2398
29_013,2386
15_062,2379
27_006,2375
23_002,2370
25_018,2369
14_008,2366
26_002,2351
15_018,2309
21_074,2309
08_050,2303
21_174,2265
15_087,2262
30_065,2254
15_090,2252
16_082,2232
15_053,2222
05_020,2206
13_083,2206
22_017,2200
16_069,2194
07_097,2180
11_002,2175
13_063,2174
19_049,2163
16_076,2158
14_015,2157
01_003,2157
11_023,2153
15_067,2149
28_021,2142
11_025,2138
06_009,2121
01_002,2117
19_012,2111
15_088,2106
13_084,2097
07_065,2081
23_011,2076
16_071,2053
15_092,2044
16_034,2028
15_059,2017
32_020,2007
16_075,1998
10_032,1993
15_011,1981
12_055,1979
15_101,1950
11_028,1948
31_101,1906
14_030,1898
13_013,1898
11_044,1895
15_045,1894
27_003,1893
30_038,1892
13_041,1883
15_115,1877
15_048,1861
05_002,1849
11_001,1843
30_141,1841
21_208,1832
16_050,1826
17_004,1813
18_004,1806
30_109,1800
30_085,1794
15_091,1780
11_012,1778
21_164,1774
04_004,1762
21_154,1756
30_123,1752
11_004,1747
27_010,1726
16_107,1718
20_039,1717
20_079,1716
13_016,1712
14_085,1712
21_053,1711
13_003,1711
13_028,1710
20_413,1701
25_015,1692
15_074,1688
05_032,1686
17_020,1682
20_043,1678
27_017,1673
13_061,1650
22_005,1650
14_091,1620
15_082,1617
22_004,1602
30_011,1572
15_100,1565
29_025,1565
01_011,1564
14_094,1563
30_083,1562
11_041,1554
17_012,1541
23_003,1537
30_175,1521
11_021,1505
23_010,1503
21_197,1499
32_039,1498
19_004,1490
07_017,1479
14_050,1474
21_085,1473
08_011,1466
11_046,1464
15_009,1461
29_044,1461
14_066,1459
12_028,1450
07_027,1431
27_016,1428
20_390,1420
30_181,1408
30_160,1404
04_001,1397
15_085,1394
07_034,1393
14_016,1389
14_006,1384
16_079,1381
15_047,1376
13_008,1370
29_043,1360
15_073,1357
08_013,1357
15_040,1349
13_029,1338
07_108,1331
01_009,1330
03_002,1327
20_318,1325
11_026,1323
32_042,1321
11_009,1313
30_183,1308
24_037,1300
