municipio,num_dispositivos
02_004,89898
09_007,88716
21_114,74992
14_039,70790
15_033,70224
19_039,66809
08_037,65924
11_020,65077
09_005,62393
14_120,57980
15_058,53704
22_014,48817
15_057,40005
31_050,39809
09_010,38393
08_019,37237
02_002,36870
15_106,36476
05_030,35947
23_005,35267
24_028,35199
09_015,34905
28_032,34154
09_012,33544
19_006,32683
26_030,32622
15_104,32061
01_001,31736
19_026,31038
09_003,30722
14_097,29607
14_098,29212
16_053,29133
25_006,28301
15_013,26441
05_035,26241
15_031,26205
09_014,25221
14_101,24497
15_121,23742
27_004,23352
09_017,22798
28_022,22760
30_193,22656
09_016,22498
19_031,21884
15_109,21693
19_046,21671
12_001,21328
09_002,21317
09_006,20749
15_081,20550
15_039,20159
09_013,19298
19_021,18754
17_007,18664
28_027,18433
02_001,18278
11_007,17457
19_018,16528
10_005,16218
09_011,16182
30_087,15864
13_048,15324
07_101,15248
15_122,15178
11_017,15146
19_048,14259
09_008,13907
28_041,13678
23_008,13423
28_038,13368
15_020,12910
15_025,12579
24_035,11973
15_037,11800
03_008,11765
25_012,11644
10_007,10864
15_060,10819
28_003,10654
15_070,10579
09_004,10496
26_018,10422
25_001,10335
15_054,10311
18_017,10193
05_018,10099
13_051,9951
14_067,9706
30_039,9454
20_067,9398
21_156,9394
04_002,9363
32_010,9306
22_006,9233
17_011,9202
22_011,9015
03_003,8921
12_029,8676
22_016,8351
16_102,8338
28_009,8323
23_004,7911
15_099,7701
19_019,7683
05_025,7455
17_006,7448
15_029,7403
15_024,7025
04_003,6999
07_089,6912
30_044,6892
26_043,6667
19_041,6434
21_119,6391
11_027,6336
30_028,6303
13_077,6180
26_055,6128
15_108,6072
08_017,5986
15_051,5941
27_002,5926
32_017,5870
14_093,5820
11_037,5603
15_118,5536
06_007,5423
30_131,5420
11_015,5344
15_120,5309
14_070,5282
08_021,5174
21_140,5154
13_069,5097
32_056,5059
25_011,5021
05_027,4995
26_029,4989
21_041,4926
30_118,4916
18_020,4915
19_025,4904
30_189,4863
15_002,4831
14_053,4794
16_052,4564
17_018,4550
16_108,4545
11_003,4519
10_012,4503
28_033,4502
09_009,4490
30_108,4482
11_042,4373
21_132,4297
26_042,4215
07_078,4205
06_002,4168
02_003,4095
08_032,4091
27_013,4074
26_048,4056
31_041,3994
21_019,3948
26_017,3920
29_033,3872
06_010,3870
15_076,3802
27_005,3722
17_008,3715
19_010,3692
29_005,3684
13_076,3646
17_029,3610
14_063,3571
15_042,3527
14_023,3493
21_015,3473
11_005,3462
30_124,3449
02_005,3441
01_005,3402
19_009,3380
20_184,3367
15_005,3300
12_035,3300
27_008,3249
11_014,3220
24_024,3200
19_033,3170
19_045,3108
24_020,3104
24_013,3101
30_048,3056
14_083,3048
11_031,3048
05_010,3007
23_001,2952
