municipio,num_dispositivos
02_004,67326
19_039,61157
09_007,60161
21_114,53807
09_005,50507
15_033,48256
14_039,47600
08_037,46991
11_020,44244
14_120,41455
15_058,35392
22_014,33963
31_050,30524
15_057,28979
02_002,28935
09_010,27576
09_015,27281
08_019,26554
26_030,26153
28_032,25926
15_106,25394
24_028,25273
05_030,24839
19_006,24812
09_012,24428
23_005,24232
09_003,24205
15_104,23340
01_001,22236
09_014,21909
16_053,21580
19_026,21520
25_006,20446
14_097,19629
09_016,19304
15_013,19023
14_098,19018
05_035,18204
15_121,17382
09_017,17362
15_031,16853
28_022,16808
09_002,16363
19_046,16320
27_004,16301
14_101,15571
30_193,15346
15_109,14981
19_031,14863
09_006,14835
17_007,14828
12_001,14510
15_039,13703
15_081,13677
28_027,13620
19_021,13472
09_013,12969
02_001,12916
09_008,12868
11_007,12617
07_101,12371
10_005,12148
30_087,11823
13_048,11556
11_017,11079
09_011,10973
28_041,10841
19_048,10793
19_018,10699
15_122,9952
15_037,9692
23_008,9366
25_012,9188
28_038,9184
03_008,9160
15_020,8961
15_025,8570
09_004,8362
26_018,8159
18_017,7956
24_035,7844
15_060,7739
15_054,7693
15_070,7467
14_067,7404
13_051,7184
25_001,7078
20_067,6917
28_003,6869
17_011,6860
10_007,6850
19_019,6842
03_003,6834
05_018,6819
22_006,6772
30_039,6703
32_010,6653
04_002,6642
16_102,6306
21_156,6269
22_011,6033
15_099,5976
22_016,5888
12_029,5869
28_009,5721
26_055,5265
05_025,5246
26_043,5172
23_004,5153
15_029,5134
21_119,5129
04_003,5001
17_006,4899
15_024,4875
07_089,4739
30_044,4638
11_027,4603
08_017,4601
30_028,4556
08_021,4357
15_108,4291
13_077,4217
32_017,4115
30_131,4040
14_070,3918
32_056,3907
21_140,3824
19_041,3806
15_118,3766
30_118,3762
14_093,3755
15_120,3746
15_051,3740
11_015,3717
06_007,3709
11_003,3617
11_037,3616
26_029,3583
05_027,3565
25_018,3509
28_033,3426
18_020,3411
17_018,3408
16_108,3384
30_189,3369
06_002,3363
16_052,3356
27_002,3301
26_042,3268
02_003,3267
15_002,3252
25_011,3252
21_041,3251
13_069,3165
26_048,3130
14_053,3087
29_033,3065
19_025,3055
30_108,3026
06_010,2967
07_078,2963
09_009,2887
19_009,2842
02_005,2824
10_012,2817
21_132,2801
15_076,2781
26_017,2777
21_019,2769
27_013,2743
31_041,2722
12_035,2673
27_005,2618
17_029,2569
08_032,2554
14_023,2552
23_001,2520
11_042,2498
17_008,2487
13_076,2325
19_010,2319
21_015,2319
24_013,2277
29_005,2254
01_005,2254
14_063,2227
30_124,2223
11_031,2199
15_005,2188
11_014,2176
14_083,2153
19_033,2144
27_008,2120
24_020,2108
14_124,2100
19_045,2079
11_033,2074
15_042,2051
20_184,2044
24_024,2030
30_102,2024
08_050,2022
15_035,2014
16_006,2013
30_048,2003
05_028,1963
07_019,1950
15_095,1948
11_005,1928
30_105,1924
05_010,1923
21_074,1885
31_101,1881
15_110,1869
15_014,1859
30_174,1853
29_010,1839
15_011,1836
16_112,1834
27_012,1821
12_038,1821
19_038,1802
26_002,1787
27_014,1756
13_030,1750
11_032,1740
14_018,1711
15_091,1704
21_071,1698
20_385,1671
16_088,1654
11_023,1649
05_002,1638
16_069,1637
15_090,1633
29_018,1627
27_007,1627
05_017,1619
30_065,1609
14_073,1606
30_068,1600
13_063,1595
28_021,1593
23_009,1590
15_018,1588
11_028,1581
14_013,1578
16_075,1567
11_011,1533
15_092,1526
17_028,1523
11_002,1512
08_002,1510
30_085,1509
14_008,1501
31_059,1498
19_049,1492
30_038,1491
01_011,1487
